"SoundID","SourceID","UFileID","StreamType","WEM"
"304380630","911543220","911543220","2","911543220.wem"
"355277542","697282788","697282788","2","697282788.wem"
"404670054","833742253","833742253","2","833742253.wem"
"606536846","117431200","117431200","2","117431200.wem"
"743133992","366831874","366831874","2","366831874.wem"
"763195930","833202924","833202924","2","833202924.wem"
"881382546","891536372","891536372","2","891536372.wem"
"946172433","846685508","846685508","2","846685508.wem"
"74105596","316454681","316454681","1","316454681.wem"
"56498920","302855129","302855129","1","302855129.wem"
"102529807","660666201","660666201","1","660666201.wem"
"442588376","623217668","623217668","1","623217668.wem"
"527051793","779278000","779278000","1","779278000.wem"
"646841222","186070293","186070293","1","186070293.wem"
"760731484","958740332","958740332","1","958740332.wem"
"95758901","647942636","647942636","2","647942636.wem"
"197630926","322706511","322706511","2","322706511.wem"
"312914597","448827065","448827065","2","448827065.wem"
"345183286","142501603","142501603","2","142501603.wem"
"375562660","718012839","718012839","2","718012839.wem"
"414892240","898001860","898001860","2","898001860.wem"
"419093624","755501008","755501008","2","755501008.wem"
"455447582","1012272758","1012272758","2","1012272758.wem"
"473532462","398622759","398622759","2","398622759.wem"
"516266276","723186224","723186224","2","723186224.wem"
"578589341","616565789","616565789","2","616565789.wem"
"599798216","874935267","874935267","2","874935267.wem"
"656534323","536154943","536154943","2","536154943.wem"
"684624635","458958901","458958901","2","458958901.wem"
"714851924","20696694","20696694","2","20696694.wem"
"806961882","461795631","461795631","2","461795631.wem"
"826777738","731848657","731848657","2","731848657.wem"
"857964692","920202335","920202335","2","920202335.wem"
"966148903","334746582","334746582","2","334746582.wem"
"1016798692","655167511","655167511","2","655167511.wem"
"1026165725","591196620","591196620","2","591196620.wem"
"1054576909","795110502","795110502","2","795110502.wem"
"741971888","468166270","468166270","1","468166270.wem"
"6644698","659204516","659204516","1","659204516.wem"
"41998588","706545110","706545110","1","706545110.wem"
"78479861","933920771","933920771","1","933920771.wem"
"103576971","262650098","262650098","1","262650098.wem"
"114240140","963567431","963567431","1","963567431.wem"
"121090276","516151388","516151388","1","516151388.wem"
"125136992","531151495","531151495","1","531151495.wem"
"131761106","158413004","158413004","1","158413004.wem"
"137229156","820152014","820152014","1","820152014.wem"
"146623261","639975831","639975831","1","639975831.wem"
"147162150","187117794","187117794","1","187117794.wem"
"166230512","843034458","843034458","1","843034458.wem"
"173918181","175393690","175393690","1","175393690.wem"
"174883767","214125137","214125137","1","214125137.wem"
"175202371","567927241","567927241","1","567927241.wem"
"185078017","581710097","581710097","1","581710097.wem"
"204055352","1059961648","1059961648","1","1059961648.wem"
"218754862","984367350","984367350","1","984367350.wem"
"222183788","335569914","335569914","1","335569914.wem"
"226939636","400137489","400137489","1","400137489.wem"
"251052523","226617786","226617786","1","226617786.wem"
"265300516","54151231","54151231","1","54151231.wem"
"288908823","677559673","677559673","1","677559673.wem"
"294086864","307942064","307942064","1","307942064.wem"
"301081133","372538656","372538656","1","372538656.wem"
"308534648","784706505","784706505","1","784706505.wem"
"308627977","248157971","248157971","1","248157971.wem"
"317464616","486401047","486401047","1","486401047.wem"
"326090636","176314973","176314973","1","176314973.wem"
"359274625","120369165","120369165","1","120369165.wem"
"361289234","490282974","490282974","1","490282974.wem"
"366670215","742914976","742914976","1","742914976.wem"
"368060615","438170191","438170191","1","438170191.wem"
"409221098","561015116","561015116","1","561015116.wem"
"444779312","815062021","815062021","1","815062021.wem"
"455134188","452233968","452233968","1","452233968.wem"
"456172947","929730082","929730082","1","929730082.wem"
"476802863","14441920","14441920","1","14441920.wem"
"479798742","813163035","813163035","1","813163035.wem"
"481013096","169992522","169992522","1","169992522.wem"
"483904343","374069543","374069543","1","374069543.wem"
"484374052","262509221","262509221","1","262509221.wem"
"484642107","338048439","338048439","1","338048439.wem"
"500794153","916594557","916594557","1","916594557.wem"
"503277845","739343470","739343470","1","739343470.wem"
"504326628","780869917","780869917","1","780869917.wem"
"519535934","111213177","111213177","1","111213177.wem"
"523817968","233546027","233546027","1","233546027.wem"
"548709061","835897267","835897267","1","835897267.wem"
"567810603","15806715","15806715","1","15806715.wem"
"600570182","583111496","583111496","1","583111496.wem"
"618976622","833910343","833910343","1","833910343.wem"
"640495257","1009114422","1009114422","1","1009114422.wem"
"661397901","824470248","824470248","1","824470248.wem"
"670825254","21967293","21967293","1","21967293.wem"
"706356691","86065016","86065016","1","86065016.wem"
"715412627","882396025","882396025","1","882396025.wem"
"724521334","1007923018","1007923018","1","1007923018.wem"
"750376927","478782204","478782204","1","478782204.wem"
"784775452","625985248","625985248","1","625985248.wem"
"794660535","222555717","222555717","1","222555717.wem"
"799155005","202756120","202756120","1","202756120.wem"
"816859556","868639152","868639152","1","868639152.wem"
"826360276","1019241950","1019241950","1","1019241950.wem"
"845948462","208695542","208695542","1","208695542.wem"
"866056494","252305306","252305306","1","252305306.wem"
"872518086","876561326","876561326","1","876561326.wem"
"922199512","300764624","300764624","1","300764624.wem"
"925360585","613385637","613385637","1","613385637.wem"
"980836785","867596762","867596762","1","867596762.wem"
"989650904","375133198","375133198","1","375133198.wem"
"996552317","757009109","757009109","1","757009109.wem"
"997226037","27039803","27039803","1","27039803.wem"
"1004268650","387708242","387708242","1","387708242.wem"
"1040766705","423576560","423576560","1","423576560.wem"
"1070363325","1042630073","1042630073","1","1042630073.wem"
"16605200","206607860","206607860","1","206607860.wem"
"45630369","122220929","122220929","1","122220929.wem"
"58534220","225139994","225139994","1","225139994.wem"
"60461893","920068327","920068327","1","920068327.wem"
"60666303","145992104","145992104","1","145992104.wem"
"90479594","774219807","774219807","1","774219807.wem"
"98560662","590295318","590295318","1","590295318.wem"
"111912769","1022616284","1022616284","1","1022616284.wem"
"119052737","24774449","24774449","1","24774449.wem"
"132908039","731303406","731303406","1","731303406.wem"
"134298352","500049807","500049807","1","500049807.wem"
"139652137","272772371","272772371","1","272772371.wem"
"162456240","920129876","920129876","1","920129876.wem"
"202923190","809202668","809202668","1","809202668.wem"
"203607454","698957989","698957989","1","698957989.wem"
"204338224","621923253","621923253","1","621923253.wem"
"205832806","238102054","238102054","1","238102054.wem"
"215032603","705917216","705917216","1","705917216.wem"
"219769053","282305378","282305378","1","282305378.wem"
"227351358","86148928","86148928","1","86148928.wem"
"252867102","1065946615","1065946615","1","1065946615.wem"
"265622055","927057568","927057568","1","927057568.wem"
"273972783","947703177","947703177","1","947703177.wem"
"275045697","149815371","149815371","1","149815371.wem"
"278513699","147747681","147747681","1","147747681.wem"
"282039142","718567021","718567021","1","718567021.wem"
"319863373","511031568","511031568","1","511031568.wem"
"322554093","116769263","116769263","1","116769263.wem"
"324062842","310717457","310717457","1","310717457.wem"
"328787228","808784971","808784971","1","808784971.wem"
"336151759","548631672","548631672","1","548631672.wem"
"345970100","730596321","730596321","1","730596321.wem"
"357816766","496373118","496373118","1","496373118.wem"
"360822654","930831490","930831490","1","930831490.wem"
"368332598","956882359","956882359","1","956882359.wem"
"385351221","336164338","336164338","1","336164338.wem"
"393884282","344561946","344561946","1","344561946.wem"
"400841042","765967550","765967550","1","765967550.wem"
"406602012","139313318","139313318","1","139313318.wem"
"408759120","561179109","561179109","1","561179109.wem"
"426516721","252188113","252188113","1","252188113.wem"
"437778220","927341555","927341555","1","927341555.wem"
"452741127","474969243","474969243","1","474969243.wem"
"461091907","583620332","583620332","1","583620332.wem"
"466078840","18903818","18903818","1","18903818.wem"
"498453443","233018484","233018484","1","233018484.wem"
"499737122","836114481","836114481","1","836114481.wem"
"507408678","285381545","285381545","1","285381545.wem"
"517308290","564389244","564389244","1","564389244.wem"
"531281062","36771323","36771323","1","36771323.wem"
"535882845","336643644","336643644","1","336643644.wem"
"536241889","429842192","429842192","1","429842192.wem"
"537527083","622342419","622342419","1","622342419.wem"
"543057014","103162336","103162336","1","103162336.wem"
"552113282","506104412","506104412","1","506104412.wem"
"574033701","494989785","494989785","1","494989785.wem"
"582855574","120459133","120459133","1","120459133.wem"
"587179493","609279557","609279557","1","609279557.wem"
"593318592","583113460","583113460","1","583113460.wem"
"601743846","936295321","936295321","1","936295321.wem"
"602191726","222265191","222265191","1","222265191.wem"
"606764739","182563901","182563901","1","182563901.wem"
"616613882","866356484","866356484","1","866356484.wem"
"641124123","736682789","736682789","1","736682789.wem"
"656397272","897931311","897931311","1","897931311.wem"
"658714248","21773969","21773969","1","21773969.wem"
"663829262","471755574","471755574","1","471755574.wem"
"674397616","136642407","136642407","1","136642407.wem"
"692689691","781960931","781960931","1","781960931.wem"
"698471899","149097461","149097461","1","149097461.wem"
"705392777","402148274","402148274","1","402148274.wem"
"706861923","104766979","104766979","1","104766979.wem"
"732053180","846936539","846936539","1","846936539.wem"
"761970447","382335453","382335453","1","382335453.wem"
"764403018","284086785","284086785","1","284086785.wem"
"775472182","493162889","493162889","1","493162889.wem"
"775939392","557983551","557983551","1","557983551.wem"
"786517469","287207942","287207942","1","287207942.wem"
"799488297","206247569","206247569","1","206247569.wem"
"823005612","840613763","840613763","1","840613763.wem"
"826275070","701213895","701213895","1","701213895.wem"
"855550521","840654523","840654523","1","840654523.wem"
"856251009","561127797","561127797","1","561127797.wem"
"860342797","148307580","148307580","1","148307580.wem"
"866051121","428355477","428355477","1","428355477.wem"
"878987137","846965701","846965701","1","846965701.wem"
"913829879","688599799","688599799","1","688599799.wem"
"933122973","268025381","268025381","1","268025381.wem"
"937276189","31944517","31944517","1","31944517.wem"
"937322468","904508579","904508579","1","904508579.wem"
"937387014","212177027","212177027","1","212177027.wem"
"953838108","867267413","867267413","1","867267413.wem"
"988653907","1056241236","1056241236","1","1056241236.wem"
"994383035","1011669277","1011669277","1","1011669277.wem"
"1036449577","2575341","2575341","1","2575341.wem"
"1043914911","488360730","488360730","1","488360730.wem"
"1044247113","589745889","589745889","1","589745889.wem"
"1044794715","895500184","895500184","1","895500184.wem"
"1055461642","798490929","798490929","1","798490929.wem"
"1065786895","966190588","966190588","1","966190588.wem"
"4765697","314504782","314504782","1","314504782.wem"
"9484002","323982226","323982226","1","323982226.wem"
"19154704","265251714","265251714","1","265251714.wem"
"36377255","996950021","996950021","1","996950021.wem"
"43161025","1071813657","1071813657","1","1071813657.wem"
"47293031","937859725","937859725","1","937859725.wem"
"52310359","816378630","816378630","1","816378630.wem"
"52315637","763581127","763581127","1","763581127.wem"
"65986410","908775499","908775499","1","908775499.wem"
"71242924","760561591","760561591","1","760561591.wem"
"77120452","394844575","394844575","1","394844575.wem"
"79167144","1050251054","1050251054","1","1050251054.wem"
"88238200","656128884","656128884","1","656128884.wem"
"92415574","231986273","231986273","1","231986273.wem"
"93680457","579883385","579883385","1","579883385.wem"
"97372912","25842541","25842541","1","25842541.wem"
"101371365","326337733","326337733","1","326337733.wem"
"119773558","688622186","688622186","1","688622186.wem"
"122595610","948839576","948839576","1","948839576.wem"
"131367935","34453711","34453711","1","34453711.wem"
"136840961","198440592","198440592","1","198440592.wem"
"160487523","781774049","781774049","1","781774049.wem"
"161295155","980150240","980150240","1","980150240.wem"
"171524185","821440897","821440897","1","821440897.wem"
"186317238","624055360","624055360","1","624055360.wem"
"192468081","580642956","580642956","1","580642956.wem"
"195301533","45850526","45850526","1","45850526.wem"
"202487759","777512750","777512750","1","777512750.wem"
"209026346","187578096","187578096","1","187578096.wem"
"209336428","227431214","227431214","1","227431214.wem"
"228287153","439818420","439818420","1","439818420.wem"
"233041791","366957376","366957376","1","366957376.wem"
"233234196","1001406991","1001406991","1","1001406991.wem"
"242094586","836242656","836242656","1","836242656.wem"
"243971661","676072795","676072795","1","676072795.wem"
"249691142","117772031","117772031","1","117772031.wem"
"250996898","140753050","140753050","1","140753050.wem"
"254486690","116629131","116629131","1","116629131.wem"
"259448703","974306733","974306733","1","974306733.wem"
"260067330","858928381","858928381","1","858928381.wem"
"267473630","194110632","194110632","1","194110632.wem"
"276726676","433222527","433222527","1","433222527.wem"
"279493910","1037913307","1037913307","1","1037913307.wem"
"288066945","1011669071","1011669071","1","1011669071.wem"
"290357438","553050431","553050431","1","553050431.wem"
"299714851","649348424","649348424","1","649348424.wem"
"302873959","175489343","175489343","1","175489343.wem"
"312791072","715263746","715263746","1","715263746.wem"
"339899159","886897021","886897021","1","886897021.wem"
"361914675","637882652","637882652","1","637882652.wem"
"368729190","816045425","816045425","1","816045425.wem"
"372020472","596877562","596877562","1","596877562.wem"
"376404055","14026281","14026281","1","14026281.wem"
"389568658","56223722","56223722","1","56223722.wem"
"400992865","785139564","785139564","1","785139564.wem"
"402600680","653461993","653461993","1","653461993.wem"
"403895934","672084372","672084372","1","672084372.wem"
"424540536","128616695","128616695","1","128616695.wem"
"428696480","842744467","842744467","1","842744467.wem"
"434908316","444357559","444357559","1","444357559.wem"
"437292393","365060074","365060074","1","365060074.wem"
"447670004","582033018","582033018","1","582033018.wem"
"457191611","720617396","720617396","1","720617396.wem"
"468665090","530692136","530692136","1","530692136.wem"
"488326372","475355609","475355609","1","475355609.wem"
"494982466","525609901","525609901","1","525609901.wem"
"500485454","11950871","11950871","1","11950871.wem"
"505152437","921173421","921173421","1","921173421.wem"
"505593832","271969660","271969660","1","271969660.wem"
"506509550","876947983","876947983","1","876947983.wem"
"520615931","268592622","268592622","1","268592622.wem"
"535164167","486742604","486742604","1","486742604.wem"
"535357353","471584944","471584944","1","471584944.wem"
"540085035","197543547","197543547","1","197543547.wem"
"542588538","629168157","629168157","1","629168157.wem"
"542662749","92198627","92198627","1","92198627.wem"
"544700237","1032112512","1032112512","1","1032112512.wem"
"547014407","1018531196","1018531196","1","1018531196.wem"
"549011666","975698895","975698895","1","975698895.wem"
"549533426","252257032","252257032","1","252257032.wem"
"550780876","1017305820","1017305820","1","1017305820.wem"
"553575192","182815024","182815024","1","182815024.wem"
"568474308","317399096","317399096","1","317399096.wem"
"594313523","162031974","162031974","1","162031974.wem"
"603152965","711877029","711877029","1","711877029.wem"
"618740437","688166578","688166578","1","688166578.wem"
"622845292","431430945","431430945","1","431430945.wem"
"629940060","470716356","470716356","1","470716356.wem"
"630516632","195325266","195325266","1","195325266.wem"
"630975810","150800374","150800374","1","150800374.wem"
"631835536","568173431","568173431","1","568173431.wem"
"633391133","151932880","151932880","1","151932880.wem"
"645383988","185250707","185250707","1","185250707.wem"
"656873678","734903317","734903317","1","734903317.wem"
"662727444","130214626","130214626","1","130214626.wem"
"668081205","1019216425","1019216425","1","1019216425.wem"
"678407609","465528367","465528367","1","465528367.wem"
"680002550","206319454","206319454","1","206319454.wem"
"688079221","336743785","336743785","1","336743785.wem"
"689469197","260783562","260783562","1","260783562.wem"
"699732404","661524582","661524582","1","661524582.wem"
"703163007","683963940","683963940","1","683963940.wem"
"721661854","958186655","958186655","1","958186655.wem"
"722094028","1008196753","1008196753","1","1008196753.wem"
"738574398","620639237","620639237","1","620639237.wem"
"740703839","760776751","760776751","1","760776751.wem"
"746756164","635651413","635651413","1","635651413.wem"
"751633344","607237120","607237120","1","607237120.wem"
"751659437","1001401885","1001401885","1","1001401885.wem"
"753255660","201252940","201252940","1","201252940.wem"
"776675658","161300527","161300527","1","161300527.wem"
"777605706","86754495","86754495","1","86754495.wem"
"790485450","18029859","18029859","1","18029859.wem"
"796738641","460416727","460416727","1","460416727.wem"
"804684178","157528075","157528075","1","157528075.wem"
"814721112","609473232","609473232","1","609473232.wem"
"820342832","589192513","589192513","1","589192513.wem"
"829265289","860778881","860778881","1","860778881.wem"
"835605372","631317220","631317220","1","631317220.wem"
"837089455","1016239674","1016239674","1","1016239674.wem"
"849567082","530181021","530181021","1","530181021.wem"
"856388464","291791478","291791478","1","291791478.wem"
"859770189","687952756","687952756","1","687952756.wem"
"865832192","198261962","198261962","1","198261962.wem"
"871319121","929989629","929989629","1","929989629.wem"
"873603613","408545271","408545271","1","408545271.wem"
"876698212","6407439","6407439","1","6407439.wem"
"884934728","896537203","896537203","1","896537203.wem"
"889527213","991998568","991998568","1","991998568.wem"
"898136896","264318605","264318605","1","264318605.wem"
"899810283","219180708","219180708","1","219180708.wem"
"906044685","287735083","287735083","1","287735083.wem"
"906225843","345019061","345019061","1","345019061.wem"
"910998466","406532239","406532239","1","406532239.wem"
"927939045","403731769","403731769","1","403731769.wem"
"931664761","374071736","374071736","1","374071736.wem"
"934822653","695226232","695226232","1","695226232.wem"
"945672588","233358959","233358959","1","233358959.wem"
"947622528","401770030","401770030","1","401770030.wem"
"950532402","892193187","892193187","1","892193187.wem"
"952119059","192113431","192113431","1","192113431.wem"
"974378803","33235221","33235221","1","33235221.wem"
"978995997","491564024","491564024","1","491564024.wem"
"989937905","410333338","410333338","1","410333338.wem"
"998338293","324489994","324489994","1","324489994.wem"
"1011153408","431294283","431294283","1","431294283.wem"
"1022786016","164557132","164557132","1","164557132.wem"
"1033692510","754082385","754082385","1","754082385.wem"
"1036006087","1002909437","1002909437","1","1002909437.wem"
"1038669707","141791397","141791397","1","141791397.wem"
"1045310339","361924852","361924852","1","361924852.wem"
"1051400346","800696960","800696960","1","800696960.wem"
"15049488","990261344","990261344","1","990261344.wem"
"15654722","16292482","16292482","1","16292482.wem"
"18983951","162811341","162811341","1","162811341.wem"
"19105489","1013619871","1013619871","1","1013619871.wem"
"21268001","417658502","417658502","1","417658502.wem"
"24704316","342371862","342371862","1","342371862.wem"
"29932884","327225481","327225481","1","327225481.wem"
"30214720","359231875","359231875","1","359231875.wem"
"31196658","430086978","430086978","1","430086978.wem"
"32540565","566110703","566110703","1","566110703.wem"
"33653772","474078733","474078733","1","474078733.wem"
"36662291","376568401","376568401","1","376568401.wem"
"38117020","503484683","503484683","1","503484683.wem"
"44257957","892162788","892162788","1","892162788.wem"
"45306426","662180586","662180586","1","662180586.wem"
"47130983","15140111","15140111","1","15140111.wem"
"51216869","359297207","359297207","1","359297207.wem"
"55143284","264889363","264889363","1","264889363.wem"
"55960903","150380784","150380784","1","150380784.wem"
"63874210","483044510","483044510","1","483044510.wem"
"65821097","637936669","637936669","1","637936669.wem"
"67889318","537768246","537768246","1","537768246.wem"
"69177987","146493191","146493191","1","146493191.wem"
"74671635","6141113","6141113","1","6141113.wem"
"84044586","258541100","258541100","1","258541100.wem"
"85228790","201897175","201897175","1","201897175.wem"
"90621619","739612169","739612169","1","739612169.wem"
"100816364","952069668","952069668","1","952069668.wem"
"102423799","753289531","753289531","1","753289531.wem"
"106524914","780242106","780242106","1","780242106.wem"
"111956764","292303274","292303274","1","292303274.wem"
"115093971","1010472104","1010472104","1","1010472104.wem"
"120599715","16526771","16526771","1","16526771.wem"
"120729097","556011718","556011718","1","556011718.wem"
"123309391","1067575506","1067575506","1","1067575506.wem"
"123592416","1994541","1994541","1","1994541.wem"
"124356807","1051914724","1051914724","1","1051914724.wem"
"133451766","560912128","560912128","1","560912128.wem"
"134396432","766329512","766329512","1","766329512.wem"
"136052919","68392483","68392483","1","68392483.wem"
"137005077","903710341","903710341","1","903710341.wem"
"140126900","218049326","218049326","1","218049326.wem"
"147618033","28006126","28006126","1","28006126.wem"
"150813176","441636163","441636163","1","441636163.wem"
"161155323","842102351","842102351","1","842102351.wem"
"163880291","744639936","744639936","1","744639936.wem"
"166004695","895007152","895007152","1","895007152.wem"
"173681444","505642874","505642874","1","505642874.wem"
"174490978","25982441","25982441","1","25982441.wem"
"176181447","166581581","166581581","1","166581581.wem"
"181653012","67801274","67801274","1","67801274.wem"
"188229006","731194467","731194467","1","731194467.wem"
"190592017","206085556","206085556","1","206085556.wem"
"190956361","485350741","485350741","1","485350741.wem"
"203302226","239395106","239395106","1","239395106.wem"
"207984255","884690055","884690055","1","884690055.wem"
"210303117","790152374","790152374","1","790152374.wem"
"212615185","596333364","596333364","1","596333364.wem"
"215231176","493722911","493722911","1","493722911.wem"
"227785352","520292044","520292044","1","520292044.wem"
"228178172","270299190","270299190","1","270299190.wem"
"229232438","900193839","900193839","1","900193839.wem"
"235759430","215314467","215314467","1","215314467.wem"
"257354705","442044236","442044236","1","442044236.wem"
"267389728","86008251","86008251","1","86008251.wem"
"275966564","72599138","72599138","1","72599138.wem"
"281566792","738169013","738169013","1","738169013.wem"
"285184092","482232445","482232445","1","482232445.wem"
"290187465","443826166","443826166","1","443826166.wem"
"294611282","796883833","796883833","1","796883833.wem"
"299824260","763059289","763059289","1","763059289.wem"
"300085535","470175939","470175939","1","470175939.wem"
"305520658","669126361","669126361","1","669126361.wem"
"308496167","534780668","534780668","1","534780668.wem"
"310592170","145401243","145401243","1","145401243.wem"
"311465505","1069557766","1069557766","1","1069557766.wem"
"312438050","1064404150","1064404150","1","1064404150.wem"
"319902802","62506718","62506718","1","62506718.wem"
"321032045","927048682","927048682","1","927048682.wem"
"325472263","779318320","779318320","1","779318320.wem"
"328041633","871207888","871207888","1","871207888.wem"
"328793783","7390073","7390073","1","7390073.wem"
"330774367","465962432","465962432","1","465962432.wem"
"333446864","1019777163","1019777163","1","1019777163.wem"
"334999623","939099692","939099692","1","939099692.wem"
"343124650","49679125","49679125","1","49679125.wem"
"344839582","223275476","223275476","1","223275476.wem"
"351760058","770080605","770080605","1","770080605.wem"
"356182496","419074368","419074368","1","419074368.wem"
"358834867","546071994","546071994","1","546071994.wem"
"359396336","652307045","652307045","1","652307045.wem"
"366616315","212234175","212234175","1","212234175.wem"
"367392272","192487085","192487085","1","192487085.wem"
"370474630","874708357","874708357","1","874708357.wem"
"383581433","472341349","472341349","1","472341349.wem"
"383659468","545435231","545435231","1","545435231.wem"
"385559637","959761289","959761289","1","959761289.wem"
"386646869","366751104","366751104","1","366751104.wem"
"400468789","216677552","216677552","1","216677552.wem"
"402319831","174011257","174011257","1","174011257.wem"
"409383760","933900365","933900365","1","933900365.wem"
"410299001","596342624","596342624","1","596342624.wem"
"415584878","990676790","990676790","1","990676790.wem"
"418517734","1030164003","1030164003","1","1030164003.wem"
"418772344","299604590","299604590","1","299604590.wem"
"427451876","79594765","79594765","1","79594765.wem"
"428424277","192194498","192194498","1","192194498.wem"
"431685059","778813174","778813174","1","778813174.wem"
"435229911","290922556","290922556","1","290922556.wem"
"438158632","829944393","829944393","1","829944393.wem"
"438729264","743470628","743470628","1","743470628.wem"
"441938970","411497555","411497555","1","411497555.wem"
"443673002","139219960","139219960","1","139219960.wem"
"444092858","836270660","836270660","1","836270660.wem"
"446225257","841131934","841131934","1","841131934.wem"
"455996795","812339299","812339299","1","812339299.wem"
"457127826","680844896","680844896","1","680844896.wem"
"457857934","785886237","785886237","1","785886237.wem"
"467599100","529421949","529421949","1","529421949.wem"
"472137787","150649308","150649308","1","150649308.wem"
"472143845","788169647","788169647","1","788169647.wem"
"483890624","578507687","578507687","1","578507687.wem"
"484649340","820023170","820023170","1","820023170.wem"
"487883303","452594030","452594030","1","452594030.wem"
"499257815","144853272","144853272","1","144853272.wem"
"503527469","51534216","51534216","1","51534216.wem"
"504544031","589104479","589104479","1","589104479.wem"
"506622031","529048438","529048438","1","529048438.wem"
"508888825","367107921","367107921","1","367107921.wem"
"517401414","918364560","918364560","1","918364560.wem"
"535994196","294748920","294748920","1","294748920.wem"
"543135872","228038233","228038233","1","228038233.wem"
"548914766","441969863","441969863","1","441969863.wem"
"555258558","729496704","729496704","1","729496704.wem"
"556568230","934459535","934459535","1","934459535.wem"
"577786982","348670091","348670091","1","348670091.wem"
"580776382","551136483","551136483","1","551136483.wem"
"582915972","911282662","911282662","1","911282662.wem"
"585458173","608686206","608686206","1","608686206.wem"
"585637965","87544570","87544570","1","87544570.wem"
"588579003","330995421","330995421","1","330995421.wem"
"589155701","702374114","702374114","1","702374114.wem"
"596261299","75859786","75859786","1","75859786.wem"
"597156993","184517543","184517543","1","184517543.wem"
"599410777","548195936","548195936","1","548195936.wem"
"611347293","63485174","63485174","1","63485174.wem"
"616079477","801833393","801833393","1","801833393.wem"
"621757154","230796911","230796911","1","230796911.wem"
"625381198","724317941","724317941","1","724317941.wem"
"629611683","244321865","244321865","1","244321865.wem"
"631440037","1004466769","1004466769","1","1004466769.wem"
"632188632","450167022","450167022","1","450167022.wem"
"640411401","106607126","106607126","1","106607126.wem"
"642708577","968419079","968419079","1","968419079.wem"
"659695047","122381597","122381597","1","122381597.wem"
"669634303","1015064643","1015064643","1","1015064643.wem"
"674005654","223793026","223793026","1","223793026.wem"
"677491422","983217710","983217710","1","983217710.wem"
"680405612","994952825","994952825","1","994952825.wem"
"686853706","93325588","93325588","1","93325588.wem"
"687869472","885929473","885929473","1","885929473.wem"
"690018032","257763145","257763145","1","257763145.wem"
"690193247","167945959","167945959","1","167945959.wem"
"690889424","272603742","272603742","1","272603742.wem"
"693061900","914637809","914637809","1","914637809.wem"
"693240372","509150225","509150225","1","509150225.wem"
"696179535","200272434","200272434","1","200272434.wem"
"698875425","843549300","843549300","1","843549300.wem"
"701034815","511045932","511045932","1","511045932.wem"
"706504963","503314529","503314529","1","503314529.wem"
"708761017","92791440","92791440","1","92791440.wem"
"709171732","14140737","14140737","1","14140737.wem"
"709903674","980652201","980652201","1","980652201.wem"
"721041892","724830889","724830889","1","724830889.wem"
"724083785","329734131","329734131","1","329734131.wem"
"724606175","38505124","38505124","1","38505124.wem"
"727964422","388419407","388419407","1","388419407.wem"
"739675176","1042118390","1042118390","1","1042118390.wem"
"740559103","210412192","210412192","1","210412192.wem"
"742844861","465789938","465789938","1","465789938.wem"
"744084639","410655110","410655110","1","410655110.wem"
"753586251","495764015","495764015","1","495764015.wem"
"753669514","953956546","953956546","1","953956546.wem"
"754436826","451974591","451974591","1","451974591.wem"
"758146636","131593931","131593931","1","131593931.wem"
"759985361","829903043","829903043","1","829903043.wem"
"763685314","939132931","939132931","1","939132931.wem"
"765662550","253463471","253463471","1","253463471.wem"
"767659049","194330409","194330409","1","194330409.wem"
"769066881","577440984","577440984","1","577440984.wem"
"771031349","334279646","334279646","1","334279646.wem"
