"EventID","ActionID","SoundID","SourceID","WEM","StreamType","Status"
"1371672385","428612610","107855291","753629622","753629622.wem","1","COMPLETE"
"1372482124","61788524","603152965","711877029","711877029.wem","1","COMPLETE"
"1373325719","368020843","260067330","858928381","858928381.wem","1","COMPLETE"
"1374922702","1068684430","555258558","729496704","729496704.wem","1","COMPLETE"
"1375747910","642765473","260348761","530969235","530969235.wem","1","COMPLETE"
"1388450100","178419983","597533131","89428262","89428262.wem","1","COMPLETE"
"1390311530","738812322","319887933","1018412350","1018412350.wem","1","COMPLETE"
"1392525625","178367285","1020402028","1059620240","1059620240.wem","1","COMPLETE"
"1395982077","793160162","750376927","478782204","478782204.wem","1","COMPLETE"
"1397048244","537182171","93680457","579883385","579883385.wem","1","COMPLETE"
"1402918832","298596891","690193247","167945959","167945959.wem","1","COMPLETE"
"1405227687","445898433","107351660","854499199","854499199.wem","1","COMPLETE"
"1409303212","898215708","871927467","820757872","820757872.wem","1","COMPLETE"
"1422005274","478655467","490656433","1002356841","1002356841.wem","1","COMPLETE"
"1426080799","712454948","131341758","974657530","974657530.wem","1","COMPLETE"
"1426591463","786579461","956460793","538302831","538302831.wem","1","COMPLETE"
"1426861212","505799495","764403018","284086785","284086785.wem","1","COMPLETE"
"1426877476","844588223","618740437","688166578","688166578.wem","1","COMPLETE"
"1429877993","265058403","995042558","23415599","23415599.wem","1","COMPLETE"
"1430980234","194795974","946172433","846685508","846685508.wem","2","COMPLETE"
"1433688653","44802052","236350761","481223653","481223653.wem","1","COMPLETE"
"1434959409","202874251","472137787","150649308","150649308.wem","1","COMPLETE"
"1434959410","294741614","838233963","255875212","255875212.wem","1","COMPLETE"
"1438638617","889309060","763195930","833202924","833202924.wem","2","COMPLETE"
"1438782861","547860278","666030736","752327521","752327521.wem","1","COMPLETE"
"1442858482","458649672","37611876","757292548","757292548.wem","1","COMPLETE"
"1449448340","263856076","1036449577","2575341","2575341.wem","1","COMPLETE"
"1449599358","902875706","998338293","324489994","324489994.wem","1","COMPLETE"
"1459636069","516516145","889058608","853491826","853491826.wem","1","COMPLETE"
"1460143611","205935179","385351221","336164338","336164338.wem","1","COMPLETE"
"1462588812","208835319","409383760","933900365","933900365.wem","1","COMPLETE"
"1463667292","787319294","300085535","470175939","470175939.wem","1","COMPLETE"
"1464506463","1045509450","230611780","717250427","717250427.wem","2","COMPLETE"
"1467204419","218565073","267389728","86008251","86008251.wem","1","COMPLETE"
"1472355436","966018431","136052919","68392483","68392483.wem","1","COMPLETE"
