"EventID","ActionID","SoundID","SourceID","WEM","StreamType","SizeBytes","SizeKB","Codec","SampleRate","Channels","Streams","DurationSec","Looping","VgmstreamExit"
"454883748","856477663","120945987","28397653","28397653.wem","0","2186","2,13","","","","","7474","","0"
"3410269207","1030028545","520728322","28899013","28899013.wem","1","19941","19,47","","","","","55893","","0"
"2402963614","66791487","249236073","30052689","30052689.wem","1","18010","17,59","","","","","62756","","0"
"3447099962","617480380","970840363","31296218","31296218.wem","1","21819","21,31","","","","","74431","","0"
"1990129782","148702686","117634563","31508959","31508959.wem","1","57344","56","","","","","221697","","0"
"2108699618","831490196","937276189","31944517","31944517.wem","1","12769","12,47","","","","","45983","","0"
"314236228","342063598","974378803","33235221","33235221.wem","1","65909","64,36","","","","","247263","","0"
"2652657254","256541576","131367935","34453711","34453711.wem","1","18389","17,96","","","","","62463","","0"
"1279633228","762166880","768792658","35991868","35991868.wem","1","19459","19","","","","","64529","","0"
"3899815136","173804479","531281062","36771323","36771323.wem","1","32750","31,98","","","","","132305","","0"
"3429285047","820908121","427730419","38372339","38372339.wem","2","24345","23,77","","","","","86671","","0"
"1906860155","618667253","724606175","38505124","38505124.wem","1","45172","44,11","","","","","159402","","0"
"3224862482","222037952","221598300","38727352","38727352.wem","1","10590","10,34","","","","","28133","","0"
"1758358581","686170800","382245291","38896854","38896854.wem","1","37698","36,81","","","","","138047","","0"
"3765030571","368131148","469991711","39862244","39862244.wem","1","52367","51,14","","","","","191807","","0"
"457640162","264630181","236830479","41098152","41098152.wem","1","59642","58,24","","","","","240257","","0"
"2612629683","661207466","425828521","42374114","42374114.wem","1","15728","15,36","","","","","55893","","0"
"4220090520","1032174473","686784668","43709616","43709616.wem","1","18456","18,02","","","","","54776","","0"
"506953500","178446032","917952391","45145384","45145384.wem","1","12606","12,31","","","","","43861","","0"
"1997170894","743394404","195301533","45850526","45850526.wem","1","21884","21,37","","","","","94754","","0"
"3908477461","357499262","920662145","46657280","46657280.wem","1","14799","14,45","","","","","53938","","0"
"2910483243","299534996","7985231","46999090","46999090.wem","1","60590","59,17","","","","","246315","","0"
"2239595267","299213525","893424268","48753438","48753438.wem","1","15567","15,2","","","","","44155","","0"
"2644114177","904808310","343124650","49679125","49679125.wem","1","44532","43,49","","","","","193616","","0"
"4039136822","417031377","841810925","50572807","50572807.wem","1","45318","44,26","","","","","169451","","0"
"785376192","71422919","503527469","51534216","51534216.wem","1","20687","20,2","","","","","75061","","0"
"1037781457","564605524","265300516","54151231","54151231.wem","1","36008","35,16","","","","","127551","","0"
"1477756927","950272388","587799451","54204748","54204748.wem","1","35753","34,92","","","","","132095","","0"
"3359083402","323409150","896352145","55510424","55510424.wem","1","10681","10,43","","","","","29395","","0"
"1720085796","680692599","389568658","56223722","56223722.wem","1","53490","52,24","","","","","202223","","0"
"942616954","186889187","568766156","56270695","56270695.wem","1","16275","15,89","","","","","55276","","0"
"98289929","974433607","360567073","61738747","61738747.wem","1","14306","13,97","","","","","52223","","0"
"803827908","407076703","319902802","62506718","62506718.wem","1","23397","22,85","","","","","84799","","0"
"3109943155","315466570","611347293","63485174","63485174.wem","1","9881","9,65","","","","","36975","","0"
"3019033575","878200631","644019011","65544374","65544374.wem","1","15962","15,59","","","","","58667","","0"
"373633978","217254183","101784772","65816721","65816721.wem","1","38922","38,01","","","","","159999","","0"
"4098696355","305234010","181653012","67801274","67801274.wem","1","90480","88,36","","","","","338005","","0"
"2755039431","545438299","850522474","67891682","67891682.wem","1","20566","20,08","","","","","64091","","0"
"1472355436","966018431","136052919","68392483","68392483.wem","1","62349","60,89","","","","","240292","","0"
"193351199","342704997","831564288","70106595","70106595.wem","1","45998","44,92","","","","","175146","","0"
"1726545727","451104876","724719174","70532753","70532753.wem","1","15201","14,84","","","","","42805","","0"
"3238798809","1073460608","275966564","72599138","72599138.wem","1","25550","24,95","","","","","74397","","0"
"1760100869","590152896","561852758","72740112","72740112.wem","1","8539","8,34","","","","","26013","","0"
"874710010","597829458","1042035163","75298720","75298720.wem","1","17840","17,42","","","","","61098","","0"
"4087100871","673890723","596261299","75859786","75859786.wem","1","19373","18,92","","","","","71376","","0"
"87081233","874179820","427451876","79594765","79594765.wem","1","78802","76,96","","","","","303757","","0"
"1113986245","970350021","823356542","80944288","80944288.wem","1","25665","25,06","","","","","76245","","0"
"3892140593","1019410537","148698207","82613959","82613959.wem","1","15925","15,55","","","","","56383","","0"
"3562805937","209361308","401021872","83349338","83349338.wem","1","42189","41,2","","","","","156251","","0"
"3078223667","893787449","960300668","85694433","85694433.wem","1","6960","6,8","","","","","24831","","0"
"1467204419","218565073","267389728","86008251","86008251.wem","1","43551","42,53","","","","","159166","","0"
"2778855768","718144342","706356691","86065016","86065016.wem","1","15082","14,73","","","","","53209","","0"
"2565760583","570273374","227351358","86148928","86148928.wem","1","9947","9,71","","","","","42469","","0"
"3101685905","653965402","777605706","86754495","86754495.wem","1","47966","46,84","","","","","171093","","0"
"3255030090","892965232","585637965","87544570","87544570.wem","1","89135","87,05","","","","","313343","","0"
"3318182744","870297515","810742718","87634762","87634762.wem","1","15183","14,83","","","","","52479","","0"
"3443824509","516402753","475186527","89315413","89315413.wem","1","19973","19,5","","","","","54217","","0"
"1388450100","178419983","597533131","89428262","89428262.wem","1","13593","13,27","","","","","38031","","0"
"1098029512","930110057","634519766","90880483","90880483.wem","1","16448","16,06","","","","","62532","","0"
"4182485301","486493815","542662749","92198627","92198627.wem","1","50014","48,84","","","","","171893","","0"
"350822486","782660235","708761017","92791440","92791440.wem","1","11883","11,6","","","","","44373","","0"
"4000692579","950474304","686853706","93325588","93325588.wem","1","30018","29,31","","","","","131050","","0"
"1074146810","344433556","994218871","98552437","98552437.wem","1","38952","38,04","","","","","146449","","0"
"184467978","257576932","910173754","99395565","99395565.wem","2","67394","65,81","","","","","244038","","0"
"2484133173","539367414","72321886","102436360","102436360.wem","1","35732","34,89","","","","","131743","","0"
"2620796913","864881930","543057014","103162336","103162336.wem","1","44944","43,89","","","","","168341","","0"
"3474264746","636039829","706861923","104766979","104766979.wem","1","27187","26,55","","","","","99327","","0"
"3393122011","876453350","870012059","105106109","105106109.wem","2","13089","12,78","","","","","46809","","0"
"2180151499","248270881","244633615","105622278","105622278.wem","1","22462","21,94","","","","","71733","","0"
"2389480092","671447650","640411401","106607126","106607126.wem","1","85924","83,91","","","","","307253","","0"
"2225380438","748666220","911474382","107137317","107137317.wem","1","46383","45,3","","","","","173159","","0"
"3059834227","233322638","919823191","107594310","107594310.wem","1","36497","35,64","","","","","132639","","0"
"1940083306","1004506336","599985710","110570427","110570427.wem","1","32535","31,77","","","","","98474","","0"
"2604247032","814291001","689180251","110723765","110723765.wem","2","59291","57,9","","","","","197530","","0"
"3569963574","1001120948","430729684","111168223","111168223.wem","1","7795","7,61","","","","","26661","","0"
"1785910087","853629253","519535934","111213177","111213177.wem","1","35067","34,25","","","","","134506","","0"
"2079483914","489082008","259208342","111938917","111938917.wem","1","108615","106,07","","","","","447999","","0"
"946331634","494268556","634330574","115875410","115875410.wem","2","24391","23,82","","","","","93132","","0"
"1717726313","844438549","254486690","116629131","116629131.wem","1","41957","40,97","","","","","154346","","0"
"3105144685","552411348","322554093","116769263","116769263.wem","1","28579","27,91","","","","","102434","","0"
"2697836364","447582716","606536846","117431200","117431200.wem","2","148961","145,47","","","","","627607","","0"
"2334373951","284467941","969396184","117726891","117726891.wem","1","19524","19,07","","","","","65365","","0"
"3528293971","100767144","249691142","117772031","117772031.wem","1","18111","17,69","","","","","64170","","0"
"3160093545","538676215","799240744","120129487","120129487.wem","1","36554","35,7","","","","","122111","","0"
"3574820932","441572062","359274625","120369165","120369165.wem","1","11133","10,87","","","","","44419","","0"
"213654886","143765288","582855574","120459133","120459133.wem","1","21402","20,9","","","","","81915","","0"
"655065823","203759134","14243670","121985976","121985976.wem","1","60293","58,88","","","","","254121","","0"
"2196123131","934480855","45630369","122220929","122220929.wem","1","19713","19,25","","","","","69229","","0"
"2288032229","110693190","659695047","122381597","122381597.wem","1","40565","39,61","","","","","140458","","0"
"370890959","617082004","123421981","123921731","123921731.wem","1","36706","35,85","","","","","138341","","0"
"1619880322","456669544","973211308","123995673","123995673.wem","2","20118","19,65","","","","","71354","","0"
"1972509326","537897441","1024372567","125264452","125264452.wem","1","23081","22,54","","","","","86721","","0"
"3863722012","58308338","802318516","126944838","126944838.wem","1","52613","51,38","","","","","189930","","0"
"1713556506","782052297","549822694","126988840","126988840.wem","1","10728","10,48","","","","","42295","","0"
"2274820042","796908199","255545802","127357609","127357609.wem","1","33974","33,18","","","","","125679","","0"
"2465047953","544599743","380690990","127735755","127735755.wem","1","29221","28,54","","","","","113398","","0"
"290900633","64674829","424540536","128616695","128616695.wem","1","20986","20,49","","","","","76629","","0"
"2545964037","249723566","662727444","130214626","130214626.wem","1","7478","7,3","","","","","26154","","0"
"4244135680","36112154","478875062","130398566","130398566.wem","2","103222","100,8","","","","","371569","","0"
"2063117786","751190128","1052199791","130938459","130938459.wem","1","56242","54,92","","","","","214399","","0"
"1938329411","567450022","758146636","131593931","131593931.wem","1","33523","32,74","","","","","107417","","0"
"3723090864","198739567","597396105","134051271","134051271.wem","1","29605","28,91","","","","","109609","","0"
"2713926369","238036359","674397616","136642407","136642407.wem","1","14412","14,07","","","","","52626","","0"
"3688101281","285689078","1006185381","136987909","136987909.wem","2","11862","11,58","","","","","49152","","0"
"718132085","398703830","411771121","137581498","137581498.wem","1","44129","43,09","","","","","167253","","0"
"768058934","772833276","443673002","139219960","139219960.wem","1","69471","67,84","","","","","250086","","0"
"56395845","438149503","406602012","139313318","139313318.wem","1","12585","12,29","","","","","44912","","0"
"898193892","522389761","320174968","140429898","140429898.wem","2","7663","7,48","","","","","26693","","0"
