"EventID","ActionID","SoundID","SourceID","WEM","StreamType","SizeKB","DurationSec","BitrateKbps","Encoding","SampleRate","Channels","Bucket"
"1930439428","66161166","859486199","866777626","866777626.wem","1","38,71","4,738","66","Custom Vorbis","32000 Hz","1","03-05s"
"1930465213","329074691","905264037","439812956","439812956.wem","1","6,89","0,614","90","Custom Vorbis","32000 Hz","1","00-01s"
"1934276133","317183868","771031349","334279646","334279646.wem","1","45,48","6,413","57","Custom Vorbis","32000 Hz","1","05-10s"
"1938329411","567450022","758146636","131593931","131593931.wem","1","32,74","3,357","79","Custom Vorbis","32000 Hz","1","03-05s"
"1939217055","483822953","123592416","1994541","1994541.wem","1","10,8","1,363","64","Custom Vorbis","32000 Hz","1","01-02s"
"1940083306","1004506336","599985710","110570427","110570427.wem","1","31,77","3,077","84","Custom Vorbis","32000 Hz","1","03-05s"
"1940251724","275874313","36377255","996950021","996950021.wem","1","28,99","3,383","69","Custom Vorbis","32000 Hz","1","03-05s"
"1941845740","224680702","33653772","474078733","474078733.wem","1","27,06","2,851","77","Custom Vorbis","32000 Hz","1","02-03s"
"1944694042","1001942698","646841222","186070293","186070293.wem","1","24,43","2,892","68","Custom Vorbis","32000 Hz","1","02-03s"
"1949797903","808173497","922486242","740908996","740908996.wem","1","23,15","2,63","71","Custom Vorbis","32000 Hz","1","02-03s"
"1956862132","740209577","1026165725","591196620","591196620.wem","2","139,97","17,155","66","Custom Vorbis","32000 Hz","1","10-20s"
"1963702333","88445794","723056549","206482288","206482288.wem","1","33,49","3,841","71","Custom Vorbis","32000 Hz","1","03-05s"
"1972509326","537897441","1024372567","125264452","125264452.wem","1","22,54","2,71","67","Custom Vorbis","32000 Hz","1","02-03s"
"1976077404","15861634","691603999","295197945","295197945.wem","2","24,04","3,519","55","Custom Vorbis","32000 Hz","1","03-05s"
"1983456882","747131993","205832806","238102054","238102054.wem","1","4,71","0,499","75","Custom Vorbis","32000 Hz","1","00-01s"
"1989624878","719753371","865832192","198261962","198261962.wem","1","26,9","3,022","72","Custom Vorbis","32000 Hz","1","03-05s"
"1990129782","148702686","117634563","31508959","31508959.wem","1","56","6,928","66","Custom Vorbis","32000 Hz","1","05-10s"
"1992660143","513295419","52310359","816378630","816378630.wem","1","9,07","1,001","73","Custom Vorbis","32000 Hz","1","01-02s"
"1994858263","680094740","1011153408","431294283","431294283.wem","1","26,36","2,998","71","Custom Vorbis","32000 Hz","1","02-03s"
"1996812409","92136766","402600680","653461993","653461993.wem","1","16,8","1,831","74","Custom Vorbis","32000 Hz","1","01-02s"
"1997170894","743394404","195301533","45850526","45850526.wem","1","21,37","2,961","58","Custom Vorbis","32000 Hz","1","02-03s"
"1998134427","861671967","761970447","382335453","382335453.wem","1","30,8","3,983","63","Custom Vorbis","32000 Hz","1","03-05s"
"1998478979","836706796","125314462","481015795","481015795.wem","1","26,25","3,072","69","Custom Vorbis","32000 Hz","1","03-05s"
"1998947918","907058655","670825254","21967293","21967293.wem","1","34,22","3,435","81","Custom Vorbis","32000 Hz","1","03-05s"
"1999873769","749318015","385559637","959761289","959761289.wem","1","13,11","1,656","64","Custom Vorbis","32000 Hz","1","01-02s"
"1999882942","794217752","415584878","990676790","990676790.wem","1","44,01","5,49","65","Custom Vorbis","32000 Hz","1","05-10s"
"2002073954","17647476","120599715","16526771","16526771.wem","1","39,81","4,181","77","Custom Vorbis","32000 Hz","1","03-05s"
"2019602323","1002093841","76171633","770219451","770219451.wem","1","15,06","1,795","68","Custom Vorbis","32000 Hz","1","01-02s"
"2020365498","240288780","469538621","187877902","187877902.wem","1","22,52","3","61","Custom Vorbis","32000 Hz","1","03-05s"
"2031079174","1047086543","1066162635","786785770","786785770.wem","1","28,75","3,371","69","Custom Vorbis","32000 Hz","1","03-05s"
"2033346725","771265617","884934728","896537203","896537203.wem","1","54,8","6,384","70","Custom Vorbis","32000 Hz","1","05-10s"
"2036711722","180633126","92415574","231986273","231986273.wem","1","41,07","4,992","67","Custom Vorbis","32000 Hz","1","03-05s"
"2043040516","481413392","559388924","185096493","185096493.wem","2","204,98","26,725","62","Custom Vorbis","32000 Hz","1","20-30s"
"2045505234","313260858","436289009","630611290","630611290.wem","1","40,32","4,755","69","Custom Vorbis","32000 Hz","1","03-05s"
"2045784277","197798596","479798742","813163035","813163035.wem","1","27,29","3,145","70","Custom Vorbis","32000 Hz","1","03-05s"
"2047205724","747358193","589686071","831440145","831440145.wem","1","7,29","0,975","60","Custom Vorbis","32000 Hz","1","00-01s"
"2048458047","387548517","1045310339","361924852","361924852.wem","1","27,63","3,822","59","Custom Vorbis","32000 Hz","1","03-05s"
"2063117786","751190128","1052199791","130938459","130938459.wem","1","54,92","6,7","67","Custom Vorbis","32000 Hz","1","05-10s"
"2063662812","857803967","517401414","918364560","918364560.wem","1","14,19","1,761","65","Custom Vorbis","32000 Hz","1","01-02s"
"2065687702","1052523197","431685059","778813174","778813174.wem","1","8,09","0,937","69","Custom Vorbis","32000 Hz","1","00-01s"
"2079483914","489082008","259208342","111938917","111938917.wem","1","106,07","14","61","Custom Vorbis","32000 Hz","1","10-20s"
"2080917968","505100376","989650904","375133198","375133198.wem","1","46,46","5,461","69","Custom Vorbis","32000 Hz","1","05-10s"
"2084772278","404366928","797942932","1024311381","1024311381.wem","1","24,23","2,948","67","Custom Vorbis","32000 Hz","1","02-03s"
"2094246697","475752059","288129100","382402011","382402011.wem","2","72,82","11,496","51","Custom Vorbis","32000 Hz","1","10-20s"
"2097721411","556056099","622845292","431430945","431430945.wem","1","9,5","1,035","74","Custom Vorbis","32000 Hz","1","01-02s"
"2106127640","86973129","18157117","664790396","664790396.wem","1","42,61","4,597","75","Custom Vorbis","32000 Hz","1","03-05s"
"2108699618","831490196","937276189","31944517","31944517.wem","1","12,47","1,437","70","Custom Vorbis","32000 Hz","1","01-02s"
"2112541569","335887006","799488297","206247569","206247569.wem","1","14,54","1,709","69","Custom Vorbis","32000 Hz","1","01-02s"
"2116105528","125362257","85228790","201897175","201897175.wem","1","18,94","2,24","68","Custom Vorbis","32000 Hz","1","02-03s"
"2122408708","472103661","948325220","1012365781","1012365781.wem","1","51,59","5,797","72","Custom Vorbis","32000 Hz","1","05-10s"
"2138555756","265369006","1046109848","860084154","860084154.wem","2","35,74","4,238","68","Custom Vorbis","32000 Hz","1","03-05s"
"2141212667","156308355","444092858","836270660","836270660.wem","1","38,14","4,275","72","Custom Vorbis","32000 Hz","1","03-05s"
"2141487084","241039959","709171732","14140737","14140737.wem","1","35,2","4,531","63","Custom Vorbis","32000 Hz","1","03-05s"
"2141487087","510419037","706504963","503314529","503314529.wem","1","46,14","5,698","66","Custom Vorbis","32000 Hz","1","05-10s"
"2146288964","737701782","1022786016","164557132","164557132.wem","1","51,18","6,108","68","Custom Vorbis","32000 Hz","1","05-10s"
"2149964272","589009586","881382546","891536372","891536372.wem","2","133,24","17,429","62","Custom Vorbis","32000 Hz","1","10-20s"
"2150382821","602183481","837089455","1016239674","1016239674.wem","1","19,53","2,341","68","Custom Vorbis","32000 Hz","1","02-03s"
"2157606221","19627399","894686532","757582667","757582667.wem","1","9,55","1,151","67","Custom Vorbis","32000 Hz","1","01-02s"
"2158602490","625237298","181571197","495882292","495882292.wem","1","14,32","1,664","70","Custom Vorbis","32000 Hz","1","01-02s"
"2169349947","959745924","741971888","468166270","468166270.wem","1","235,39","26,286","73","Custom Vorbis","32000 Hz","1","20-30s"
"2170363607","654757023","814721112","609473232","609473232.wem","1","16,25","1,649","80","Custom Vorbis","32000 Hz","1","01-02s"
"2172941058","139357004","507408678","285381545","285381545.wem","1","48,1","5,866","67","Custom Vorbis","32000 Hz","1","05-10s"
"2176191947","310966579","925360585","613385637","613385637.wem","1","32,21","4,006","65","Custom Vorbis","32000 Hz","1","03-05s"
"2179394245","462659","222183788","335569914","335569914.wem","1","34,72","4,055","69","Custom Vorbis","32000 Hz","1","03-05s"
"2180151499","248270881","244633615","105622278","105622278.wem","1","21,94","2,242","79","Custom Vorbis","32000 Hz","1","02-03s"
"2188338835","324718724","688079221","336743785","336743785.wem","1","35,47","4,824","60","Custom Vorbis","32000 Hz","1","03-05s"
"2192477699","974974992","215032603","705917216","705917216.wem","1","28,94","3,393","69","Custom Vorbis","32000 Hz","1","03-05s"
"2196123131","934480855","45630369","122220929","122220929.wem","1","19,25","2,163","72","Custom Vorbis","32000 Hz","1","02-03s"
"2203305525","450564590","477168486","313851490","313851490.wem","2","107,28","14,285","61","Custom Vorbis","32000 Hz","1","10-20s"
"2206210113","667202870","499737122","836114481","836114481.wem","1","15,21","1,829","67","Custom Vorbis","32000 Hz","1","01-02s"
"2214432560","724850733","1014926060","627935293","627935293.wem","1","9,71","0,905","87","Custom Vorbis","32000 Hz","1","00-01s"
"2222202438","401809353","171524185","821440897","821440897.wem","1","12,71","1,517","68","Custom Vorbis","32000 Hz","1","01-02s"
"2225380438","748666220","911474382","107137317","107137317.wem","1","45,3","5,411","68","Custom Vorbis","32000 Hz","1","05-10s"
"2231120800","974264761","1073725359","638460096","638460096.wem","1","22,27","3,163","57","Custom Vorbis","32000 Hz","1","03-05s"
"2231210147","1041478184","888097612","503584387","503584387.wem","1","9,11","0,927","79","Custom Vorbis","32000 Hz","1","00-01s"
"2232773451","294511946","444779312","815062021","815062021.wem","1","15,88","1,84","70","Custom Vorbis","32000 Hz","1","01-02s"
"2232931059","300490372","792647131","970479669","970479669.wem","1","13,31","1,604","67","Custom Vorbis","32000 Hz","1","01-02s"
"2236051832","1006651323","549028734","919374362","919374362.wem","1","9,38","0,92","82","Custom Vorbis","32000 Hz","1","00-01s"
"2239595267","299213525","893424268","48753438","48753438.wem","1","15,2","1,38","89","Custom Vorbis","32000 Hz","1","01-02s"
"2240133296","818915967","644162243","549141893","549141893.wem","1","33,34","4,084","66","Custom Vorbis","32000 Hz","1","03-05s"
"2247987734","811375382","737904414","677993324","677993324.wem","1","15,68","1,578","80","Custom Vorbis","32000 Hz","1","01-02s"
"2252829419","537744300","17627223","959203466","959203466.wem","1","9,87","0,937","85","Custom Vorbis","32000 Hz","1","00-01s"
"2254319328","126601414","7886798","367584962","367584962.wem","1","22,65","3","61","Custom Vorbis","32000 Hz","1","03-05s"
"2255405928","657169454","166780425","597905619","597905619.wem","1","16,61","1,968","68","Custom Vorbis","32000 Hz","1","01-02s"
"2255500328","544423684","523399982","866332544","866332544.wem","1","34,54","3,933","71","Custom Vorbis","32000 Hz","1","03-05s"
"2258699595","50072444","567810603","15806715","15806715.wem","1","22,05","2,624","68","Custom Vorbis","32000 Hz","1","02-03s"
"2264765321","115570955","513049966","224466364","224466364.wem","1","24,15","2,467","79","Custom Vorbis","32000 Hz","1","02-03s"
"2269607006","639724389","85066016","979556710","979556710.wem","1","11,6","1,104","85","Custom Vorbis","32000 Hz","1","01-02s"
"2272354181","1054670987","326090636","176314973","176314973.wem","1","40,15","4,697","69","Custom Vorbis","32000 Hz","1","03-05s"
"2274820042","796908199","255545802","127357609","127357609.wem","1","33,18","3,927","69","Custom Vorbis","32000 Hz","1","03-05s"
"2274920882","499795281","1054576909","795110502","795110502.wem","2","75,26","9,985","61","Custom Vorbis","32000 Hz","1","05-10s"
"2279423190","145310568","817780129","640595667","640595667.wem","1","24,75","2,907","69","Custom Vorbis","32000 Hz","1","02-03s"
"2281543036","412906360","518173738","157581541","157581541.wem","1","15,67","1,584","80","Custom Vorbis","32000 Hz","1","01-02s"
"2281971384","948641052","985621077","492451819","492451819.wem","1","27,71","3,371","67","Custom Vorbis","32000 Hz","1","03-05s"
"2286384689","765823039","529062363","938191861","938191861.wem","1","10,34","0,922","91","Custom Vorbis","32000 Hz","1","00-01s"
"2288032229","110693190","659695047","122381597","122381597.wem","1","39,61","4,389","73","Custom Vorbis","32000 Hz","1","03-05s"
"2290542269","837960197","775939392","557983551","557983551.wem","1","27,03","3,047","72","Custom Vorbis","32000 Hz","1","03-05s"
"2298320623","518024199","649253422","579137320","579137320.wem","1","22,71","2,37","78","Custom Vorbis","32000 Hz","1","02-03s"
"2300763553","552646575","190956361","485350741","485350741.wem","1","39,29","4,581","70","Custom Vorbis","32000 Hz","1","03-05s"
"2303162276","134239707","925568882","211532930","211532930.wem","1","19,96","1,985","81","Custom Vorbis","32000 Hz","1","01-02s"
"2308372584","129481853","419987509","512180737","512180737.wem","1","32,99","3,88","69","Custom Vorbis","32000 Hz","1","03-05s"
"2313422874","854432781","173681444","505642874","505642874.wem","1","46,44","5,865","64","Custom Vorbis","32000 Hz","1","05-10s"
"2315098178","550677700","1038513762","877143853","877143853.wem","1","19,95","1,875","86","Custom Vorbis","32000 Hz","1","01-02s"
"2315919225","810022185","285906802","712654566","712654566.wem","2","24,72","3,568","56","Custom Vorbis","32000 Hz","1","03-05s"
"2317206743","357486717","863797716","458898376","458898376.wem","1","19,47","2,208","71","Custom Vorbis","32000 Hz","1","02-03s"
"2318763161","152150457","910095007","623442379","623442379.wem","1","54,7","6,57","68","Custom Vorbis","32000 Hz","1","05-10s"
"2319939863","373001820","1029609207","560660796","560660796.wem","1","14,81","1,456","82","Custom Vorbis","32000 Hz","1","01-02s"
"2322088210","878173925","860342797","148307580","148307580.wem","1","18,07","2,147","68","Custom Vorbis","32000 Hz","1","02-03s"
"2332944445","572115189","1036006087","1002909437","1002909437.wem","1","32,31","3,63","72","Custom Vorbis","32000 Hz","1","03-05s"
"2334373951","284467941","969396184","117726891","117726891.wem","1","19,07","2,043","76","Custom Vorbis","32000 Hz","1","02-03s"
"2342766750","295772386","568474308","317399096","317399096.wem","1","11,88","1,407","68","Custom Vorbis","32000 Hz","1","01-02s"
"2344137550","244565837","659883931","475146708","475146708.wem","1","30,99","3,675","68","Custom Vorbis","32000 Hz","1","03-05s"
"2345778810","458180099","612492065","822386335","822386335.wem","2","31,44","4,171","61","Custom Vorbis","32000 Hz","1","03-05s"
"2346547009","408920005","930575479","864627047","864627047.wem","1","38,52","4,764","66","Custom Vorbis","32000 Hz","1","03-05s"
"2348459300","779699267","38117020","503484683","503484683.wem","1","40,87","5,012","66","Custom Vorbis","32000 Hz","1","05-10s"
"2350668639","662486511","199791706","299312186","299312186.wem","1","27,59","3,097","72","Custom Vorbis","32000 Hz","1","03-05s"
"2351029671","459155939","589155701","702374114","702374114.wem","1","40,42","4,277","77","Custom Vorbis","32000 Hz","1","03-05s"
"2353495165","1012768493","554229384","887694664","887694664.wem","1","20,6","1,851","90","Custom Vorbis","32000 Hz","1","01-02s"
"2357038600","592851939","869813336","197738680","197738680.wem","1","15,93","1,368","94","Custom Vorbis","32000 Hz","1","01-02s"
"2357947842","247972298","884086011","522342351","522342351.wem","1","28,6","3,297","70","Custom Vorbis","32000 Hz","1","03-05s"
"2358215687","800907594","691391696","6343934","6343934.wem","1","53,08","6,421","67","Custom Vorbis","32000 Hz","1","05-10s"
"2359788130","706680686","345183286","142501603","142501603.wem","2","33,42","4,438","61","Custom Vorbis","32000 Hz","1","03-05s"
"2363824725","479089115","572541343","632520951","632520951.wem","2","14,36","1,835","63","Custom Vorbis","32000 Hz","1","01-02s"
"2365126115","160886553","109526083","303752298","303752298.wem","1","39,64","4,963","65","Custom Vorbis","32000 Hz","1","03-05s"
"2367855121","666181230","252867102","1065946615","1065946615.wem","1","35,77","4,341","67","Custom Vorbis","32000 Hz","1","03-05s"
"2372161051","912930695","328787228","808784971","808784971.wem","1","23,92","3,388","57","Custom Vorbis","32000 Hz","1","03-05s"
"2373816315","940217300","234542029","561621684","561621684.wem","1","89,2","9,473","77","Custom Vorbis","32000 Hz","1","05-10s"
"2381447540","433396676","258452105","764618888","764618888.wem","1","25,9","2,91","72","Custom Vorbis","32000 Hz","1","02-03s"
"2385992378","180095592","839344046","11743198","11743198.wem","1","40,1","3,937","83","Custom Vorbis","32000 Hz","1","03-05s"
"2389480092","671447650","640411401","106607126","106607126.wem","1","83,91","9,602","71","Custom Vorbis","32000 Hz","1","05-10s"
"2390593902","339024071","313378650","540348542","540348542.wem","1","26,69","2,41","90","Custom Vorbis","32000 Hz","1","02-03s"
"2398077248","493520726","483890624","578507687","578507687.wem","1","60,04","6,713","73","Custom Vorbis","32000 Hz","1","05-10s"
"2402963614","66791487","249236073","30052689","30052689.wem","1","17,59","1,961","73","Custom Vorbis","32000 Hz","1","01-02s"
"2403334882","280088796","796301526","143438724","143438724.wem","1","10,58","1,144","75","Custom Vorbis","32000 Hz","1","01-02s"
"2405790296","1061826990","326498802","1058158586","1058158586.wem","1","16,49","1,712","78","Custom Vorbis","32000 Hz","1","01-02s"
"2407260110","765529188","656873678","734903317","734903317.wem","1","24,51","2,91","68","Custom Vorbis","32000 Hz","1","02-03s"
"2407371457","183150142","891988437","163370250","163370250.wem","1","17,42","1,747","81","Custom Vorbis","32000 Hz","1","01-02s"
"2420488482","1047742774","333446864","1019777163","1019777163.wem","1","17,15","2,059","67","Custom Vorbis","32000 Hz","1","02-03s"
"2422494377","66453600","188247809","196991802","196991802.wem","1","29,37","3,517","68","Custom Vorbis","32000 Hz","1","03-05s"
"2424149172","37320165","969603388","508418172","508418172.wem","1","19,85","1,926","84","Custom Vorbis","32000 Hz","1","01-02s"
"2425029175","879789512","459152143","864723965","864723965.wem","1","23,03","2,432","77","Custom Vorbis","32000 Hz","1","02-03s"
"2425927065","298434615","968071933","667534222","667534222.wem","1","22,77","2,72","68","Custom Vorbis","32000 Hz","1","02-03s"
"2438119800","1015906646","854189880","376272801","376272801.wem","1","31,75","4,129","62","Custom Vorbis","32000 Hz","1","03-05s"
"2440926759","635050659","382078430","352352022","352352022.wem","1","23,3","2,125","89","Custom Vorbis","32000 Hz","1","02-03s"
