"Index","Batch","WEM","SourcePath","WAV","EventID","ActionID","SoundID","SourceID","StreamType","DurationSec","BitrateKbps","Encoding","SampleRate","Channels","Bucket","Status"
"858","Batch_009","83349338.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\83349338.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0858_83349338.wav","3562805937","209361308","401021872","83349338","1","4,883","68","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
"859","Batch_009","1030164003.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\1030164003.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0859_1030164003.wav","4083146248","8403707","418517734","1030164003","1","4,889","71","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
"860","Batch_009","192113431.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\192113431.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0860_192113431.wav","2658140653","312663576","952119059","192113431","1","4,889","72","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
"861","Batch_009","755540062.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\755540062.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0861_755540062.wav","3416827058","615308723","275604950","755540062","1","4,907","68","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
"862","Batch_009","820152014.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\820152014.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0862_820152014.wav","692046863","177542508","137229156","820152014","1","4,918","71","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
"863","Batch_009","688622186.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\688622186.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0863_688622186.wav","2473794624","490975876","119773558","688622186","1","4,933","67","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
"864","Batch_009","620304233.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\620304233.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0864_620304233.wav","3716023168","134491677","284285436","620304233","1","4,962","74","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
"865","Batch_009","303752298.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\303752298.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0865_303752298.wav","2365126115","160886553","109526083","303752298","1","4,963","65","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
"866","Batch_009","86008251.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\86008251.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0866_86008251.wav","1467204419","218565073","267389728","86008251","1","4,974","69","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
"867","Batch_009","38505124.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\38505124.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0867_38505124.wav","1906860155","618667253","724606175","38505124","1","4,981","72","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
"868","Batch_009","475355609.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\475355609.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0868_475355609.wav","3722097342","1058195344","488326372","475355609","1","4,983","68","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
"869","Batch_009","1056241236.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\1056241236.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0869_1056241236.wav","3193117353","842035104","988653907","1056241236","1","4,984","66","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
"870","Batch_009","206607860.wem","B:\Thief2014_Dubbing\Extracted\th4_000_common_vo\th4_000_common_vo\english(us)\206607860.wem","B:\Thief2014_Dubbing\Work\VoiceAudition\Batch_009\0870_206607860.wav","3916310647","919809908","16605200","206607860","1","4,985","66","Custom Vorbis","32000 Hz","1","03-05s","CONVERTED"
