"Index","Batch","WEM","Audio","EventID","ActionID","SoundID","SourceID","DurationSec","Category","Character","OriginalTranscript","PTBR","Notes","Status"
"139","Batch_002","948839576.wem","Batch_002/0139_948839576.wav","3731075189","1056469811","122595610","948839576","1,229","FALA","","","","","PENDING"
"140","Batch_002","886897021.wem","Batch_002/0140_886897021.wav","3452444601","286399025","339899159","886897021","1,236","FALA","","","","","PENDING"
"141","Batch_002","596342624.wem","Batch_002/0141_596342624.wav","666419965","137678310","410299001","596342624","1,243","FALA","","","","","PENDING"
"142","Batch_002","723844794.wem","Batch_002/0142_723844794.wav","289368195","218043853","439289755","723844794","1,245","FALA","","","","","PENDING"
"143","Batch_002","286756205.wem","Batch_002/0143_286756205.wav","1703179782","601005225","977406015","286756205","1,266","FALA","","","","","PENDING"
"144","Batch_002","848134069.wem","Batch_002/0144_848134069.wav","3404660568","57170369","671588910","848134069","1,267","FALA","","","","","PENDING"
"145","Batch_002","917921297.wem","Batch_002/0145_917921297.wav","1571639502","101690538","852731061","917921297","1,267","FALA","","","","","PENDING"
"146","Batch_002","239395106.wem","Batch_002/0146_239395106.wav","3264861813","455383523","203302226","239395106","1,275","FALA","","","","","PENDING"
"147","Batch_002","911282662.wem","Batch_002/0147_911282662.wav","3142304963","783691453","582915972","911282662","1,28","FALA","","","","","PENDING"
"148","Batch_002","149815371.wem","Batch_002/0148_149815371.wav","1654706174","380542528","275045697","149815371","1,291","GRITO","","","","","PENDING"
"149","Batch_002","184517543.wem","Batch_002/0149_184517543.wav","1198737572","365629827","597156993","184517543","1,301","FALA","","","","","PENDING"
"150","Batch_002","419074368.wem","Batch_002/0150_419074368.wav","252618756","442921647","356182496","419074368","1,307","FALA","","","","","PENDING"
"151","Batch_002","483424404.wem","Batch_002/0151_483424404.wav","3797829059","98869873","852959444","483424404","1,316","FALA","","","","","PENDING"
"152","Batch_002","793668433.wem","Batch_002/0152_793668433.wav","1476413656","924379110","477459611","793668433","1,316","FALA","","","","","PENDING"
"153","Batch_002","324025043.wem","Batch_002/0153_324025043.wav","3197501496","163778031","665836850","324025043","1,322","FALA","","","","","PENDING"
"154","Batch_002","126988840.wem","Batch_002/0154_126988840.wav","1713556506","782052297","549822694","126988840","1,322","GRITO","","","","","PENDING"
