"ID","File","RelativePath","SizeBytes","SizeKB"
"31944517","31944517.wem","th4_000_common_vo\english(us)\31944517.wem","12769","12,47"
"33235221","33235221.wem","th4_000_common_vo\english(us)\33235221.wem","65909","64,36"
"34453711","34453711.wem","th4_000_common_vo\english(us)\34453711.wem","18389","17,96"
"35991868","35991868.wem","th4_000_common_vo\english(us)\35991868.wem","19459","19"
"36771323","36771323.wem","th4_000_common_vo\english(us)\36771323.wem","32750","31,98"
"38372339","38372339.wem","th4_000_common_vo\english(us)\38372339.wem","24345","23,77"
"38505124","38505124.wem","th4_000_common_vo\english(us)\38505124.wem","45172","44,11"
"38727352","38727352.wem","th4_000_common_vo\english(us)\38727352.wem","10590","10,34"
"38896854","38896854.wem","th4_000_common_vo\english(us)\38896854.wem","37698","36,81"
"39862244","39862244.wem","th4_000_common_vo\english(us)\39862244.wem","52367","51,14"
"41098152","41098152.wem","th4_000_common_vo\english(us)\41098152.wem","59642","58,24"
"42374114","42374114.wem","th4_000_common_vo\english(us)\42374114.wem","15728","15,36"
"43709616","43709616.wem","th4_000_common_vo\english(us)\43709616.wem","18456","18,02"
"45145384","45145384.wem","th4_000_common_vo\english(us)\45145384.wem","12606","12,31"
"45850526","45850526.wem","th4_000_common_vo\english(us)\45850526.wem","21884","21,37"
"46657280","46657280.wem","th4_000_common_vo\english(us)\46657280.wem","14799","14,45"
"46999090","46999090.wem","th4_000_common_vo\english(us)\46999090.wem","60590","59,17"
"48753438","48753438.wem","th4_000_common_vo\english(us)\48753438.wem","15567","15,2"
"49679125","49679125.wem","th4_000_common_vo\english(us)\49679125.wem","44532","43,49"
"50572807","50572807.wem","th4_000_common_vo\english(us)\50572807.wem","45318","44,26"
"51534216","51534216.wem","th4_000_common_vo\english(us)\51534216.wem","20687","20,2"
"54151231","54151231.wem","th4_000_common_vo\english(us)\54151231.wem","36008","35,16"
"54204748","54204748.wem","th4_000_common_vo\english(us)\54204748.wem","35753","34,92"
"55510424","55510424.wem","th4_000_common_vo\english(us)\55510424.wem","10681","10,43"
"56223722","56223722.wem","th4_000_common_vo\english(us)\56223722.wem","53490","52,24"
"56270695","56270695.wem","th4_000_common_vo\english(us)\56270695.wem","16275","15,89"
"61738747","61738747.wem","th4_000_common_vo\english(us)\61738747.wem","14306","13,97"
"62506718","62506718.wem","th4_000_common_vo\english(us)\62506718.wem","23397","22,85"
"63485174","63485174.wem","th4_000_common_vo\english(us)\63485174.wem","9881","9,65"
"65544374","65544374.wem","th4_000_common_vo\english(us)\65544374.wem","15962","15,59"
"65816721","65816721.wem","th4_000_common_vo\english(us)\65816721.wem","38922","38,01"
"67801274","67801274.wem","th4_000_common_vo\english(us)\67801274.wem","90480","88,36"
"67891682","67891682.wem","th4_000_common_vo\english(us)\67891682.wem","20566","20,08"
"68392483","68392483.wem","th4_000_common_vo\english(us)\68392483.wem","62349","60,89"
"70106595","70106595.wem","th4_000_common_vo\english(us)\70106595.wem","45998","44,92"
"70532753","70532753.wem","th4_000_common_vo\english(us)\70532753.wem","15201","14,84"
"72599138","72599138.wem","th4_000_common_vo\english(us)\72599138.wem","25550","24,95"
"72740112","72740112.wem","th4_000_common_vo\english(us)\72740112.wem","8539","8,34"
"75298720","75298720.wem","th4_000_common_vo\english(us)\75298720.wem","17840","17,42"
"75859786","75859786.wem","th4_000_common_vo\english(us)\75859786.wem","19373","18,92"
"79594765","79594765.wem","th4_000_common_vo\english(us)\79594765.wem","78802","76,96"
"80944288","80944288.wem","th4_000_common_vo\english(us)\80944288.wem","25665","25,06"
"82613959","82613959.wem","th4_000_common_vo\english(us)\82613959.wem","15925","15,55"
"83349338","83349338.wem","th4_000_common_vo\english(us)\83349338.wem","42189","41,2"
"85455385","85455385.wem","th4_000_common_vo\english(us)\85455385.wem","53967","52,7"
"85694433","85694433.wem","th4_000_common_vo\english(us)\85694433.wem","6960","6,8"
"86008251","86008251.wem","th4_000_common_vo\english(us)\86008251.wem","43551","42,53"
"86065016","86065016.wem","th4_000_common_vo\english(us)\86065016.wem","15082","14,73"
"86148928","86148928.wem","th4_000_common_vo\english(us)\86148928.wem","9947","9,71"
"86754495","86754495.wem","th4_000_common_vo\english(us)\86754495.wem","47966","46,84"
"87544570","87544570.wem","th4_000_common_vo\english(us)\87544570.wem","89135","87,05"
"87634762","87634762.wem","th4_000_common_vo\english(us)\87634762.wem","15183","14,83"
"89315413","89315413.wem","th4_000_common_vo\english(us)\89315413.wem","19973","19,5"
"89428262","89428262.wem","th4_000_common_vo\english(us)\89428262.wem","13593","13,27"
"90880483","90880483.wem","th4_000_common_vo\english(us)\90880483.wem","16448","16,06"
"92198627","92198627.wem","th4_000_common_vo\english(us)\92198627.wem","50014","48,84"
"92791440","92791440.wem","th4_000_common_vo\english(us)\92791440.wem","11883","11,6"
"93325588","93325588.wem","th4_000_common_vo\english(us)\93325588.wem","30018","29,31"
"98552437","98552437.wem","th4_000_common_vo\english(us)\98552437.wem","38952","38,04"
"99395565","99395565.wem","th4_000_common_vo\english(us)\99395565.wem","67394","65,81"
"102436360","102436360.wem","th4_000_common_vo\english(us)\102436360.wem","35732","34,89"
"103162336","103162336.wem","th4_000_common_vo\english(us)\103162336.wem","44944","43,89"
"104766979","104766979.wem","th4_000_common_vo\english(us)\104766979.wem","27187","26,55"
"105106109","105106109.wem","th4_000_common_vo\english(us)\105106109.wem","13089","12,78"
"105622278","105622278.wem","th4_000_common_vo\english(us)\105622278.wem","22462","21,94"
"106607126","106607126.wem","th4_000_common_vo\english(us)\106607126.wem","85924","83,91"
"107137317","107137317.wem","th4_000_common_vo\english(us)\107137317.wem","46383","45,3"
"107594310","107594310.wem","th4_000_common_vo\english(us)\107594310.wem","36497","35,64"
"110570427","110570427.wem","th4_000_common_vo\english(us)\110570427.wem","32535","31,77"
"110723765","110723765.wem","th4_000_common_vo\english(us)\110723765.wem","59291","57,9"
"111168223","111168223.wem","th4_000_common_vo\english(us)\111168223.wem","7795","7,61"
"111213177","111213177.wem","th4_000_common_vo\english(us)\111213177.wem","35067","34,25"
"111938917","111938917.wem","th4_000_common_vo\english(us)\111938917.wem","108615","106,07"
"115875410","115875410.wem","th4_000_common_vo\english(us)\115875410.wem","24391","23,82"
"116629131","116629131.wem","th4_000_common_vo\english(us)\116629131.wem","41957","40,97"
"116769263","116769263.wem","th4_000_common_vo\english(us)\116769263.wem","28579","27,91"
"117431200","117431200.wem","th4_000_common_vo\english(us)\117431200.wem","148961","145,47"
"117726891","117726891.wem","th4_000_common_vo\english(us)\117726891.wem","19524","19,07"
"117772031","117772031.wem","th4_000_common_vo\english(us)\117772031.wem","18111","17,69"
"120129487","120129487.wem","th4_000_common_vo\english(us)\120129487.wem","36554","35,7"
"120369165","120369165.wem","th4_000_common_vo\english(us)\120369165.wem","11133","10,87"
"120459133","120459133.wem","th4_000_common_vo\english(us)\120459133.wem","21402","20,9"
"121985976","121985976.wem","th4_000_common_vo\english(us)\121985976.wem","60293","58,88"
"122220929","122220929.wem","th4_000_common_vo\english(us)\122220929.wem","19713","19,25"
"122381597","122381597.wem","th4_000_common_vo\english(us)\122381597.wem","40565","39,61"
"123921731","123921731.wem","th4_000_common_vo\english(us)\123921731.wem","36706","35,85"
"123995673","123995673.wem","th4_000_common_vo\english(us)\123995673.wem","20118","19,65"
"125264452","125264452.wem","th4_000_common_vo\english(us)\125264452.wem","23081","22,54"
"126944838","126944838.wem","th4_000_common_vo\english(us)\126944838.wem","52613","51,38"
"126988840","126988840.wem","th4_000_common_vo\english(us)\126988840.wem","10728","10,48"
"127357609","127357609.wem","th4_000_common_vo\english(us)\127357609.wem","33974","33,18"
"127735755","127735755.wem","th4_000_common_vo\english(us)\127735755.wem","29221","28,54"
"128616695","128616695.wem","th4_000_common_vo\english(us)\128616695.wem","20986","20,49"
"130214626","130214626.wem","th4_000_common_vo\english(us)\130214626.wem","7478","7,3"
"130398566","130398566.wem","th4_000_common_vo\english(us)\130398566.wem","103222","100,8"
"130938459","130938459.wem","th4_000_common_vo\english(us)\130938459.wem","56242","54,92"
"131593931","131593931.wem","th4_000_common_vo\english(us)\131593931.wem","33523","32,74"
"134051271","134051271.wem","th4_000_common_vo\english(us)\134051271.wem","29605","28,91"
"136642407","136642407.wem","th4_000_common_vo\english(us)\136642407.wem","14412","14,07"
"136987909","136987909.wem","th4_000_common_vo\english(us)\136987909.wem","11862","11,58"
"137581498","137581498.wem","th4_000_common_vo\english(us)\137581498.wem","44129","43,09"
"139219960","139219960.wem","th4_000_common_vo\english(us)\139219960.wem","69471","67,84"
"139313318","139313318.wem","th4_000_common_vo\english(us)\139313318.wem","12585","12,29"
"140429898","140429898.wem","th4_000_common_vo\english(us)\140429898.wem","7663","7,48"
"140753050","140753050.wem","th4_000_common_vo\english(us)\140753050.wem","20384","19,91"
"141791397","141791397.wem","th4_000_common_vo\english(us)\141791397.wem","25490","24,89"
"142501603","142501603.wem","th4_000_common_vo\english(us)\142501603.wem","34226","33,42"
"143438724","143438724.wem","th4_000_common_vo\english(us)\143438724.wem","10839","10,58"
"144853272","144853272.wem","th4_000_common_vo\english(us)\144853272.wem","17754","17,34"
"145243625","145243625.wem","th4_000_common_vo\english(us)\145243625.wem","27504","26,86"
"145401243","145401243.wem","th4_000_common_vo\english(us)\145401243.wem","12548","12,25"
"145630016","145630016.wem","th4_000_common_vo\english(us)\145630016.wem","8395","8,2"
"145992104","145992104.wem","th4_000_common_vo\english(us)\145992104.wem","58373","57"
"146493191","146493191.wem","th4_000_common_vo\english(us)\146493191.wem","14908","14,56"
"147747681","147747681.wem","th4_000_common_vo\english(us)\147747681.wem","34671","33,86"
"147824665","147824665.wem","th4_000_common_vo\english(us)\147824665.wem","23277","22,73"
"148095223","148095223.wem","th4_000_common_vo\english(us)\148095223.wem","27863","27,21"
"148307580","148307580.wem","th4_000_common_vo\english(us)\148307580.wem","18500","18,07"
"149097461","149097461.wem","th4_000_common_vo\english(us)\149097461.wem","25040","24,45"
"149815371","149815371.wem","th4_000_common_vo\english(us)\149815371.wem","10395","10,15"
"150380784","150380784.wem","th4_000_common_vo\english(us)\150380784.wem","7104","6,94"
"150649308","150649308.wem","th4_000_common_vo\english(us)\150649308.wem","40375","39,43"
"150800374","150800374.wem","th4_000_common_vo\english(us)\150800374.wem","27717","27,07"
"151932880","151932880.wem","th4_000_common_vo\english(us)\151932880.wem","18027","17,6"
"157056275","157056275.wem","th4_000_common_vo\english(us)\157056275.wem","15023","14,67"
"157528075","157528075.wem","th4_000_common_vo\english(us)\157528075.wem","35409","34,58"
"157581541","157581541.wem","th4_000_common_vo\english(us)\157581541.wem","16046","15,67"
"158413004","158413004.wem","th4_000_common_vo\english(us)\158413004.wem","11836","11,56"
"159781536","159781536.wem","th4_000_common_vo\english(us)\159781536.wem","14128","13,8"
"159921588","159921588.wem","th4_000_common_vo\english(us)\159921588.wem","11611","11,34"
"161300527","161300527.wem","th4_000_common_vo\english(us)\161300527.wem","21098","20,6"
"162031974","162031974.wem","th4_000_common_vo\english(us)\162031974.wem","29412","28,72"
"162530994","162530994.wem","th4_000_common_vo\english(us)\162530994.wem","34850","34,03"
"162811341","162811341.wem","th4_000_common_vo\english(us)\162811341.wem","33472","32,69"
"163370250","163370250.wem","th4_000_common_vo\english(us)\163370250.wem","17833","17,42"
"164557132","164557132.wem","th4_000_common_vo\english(us)\164557132.wem","52413","51,18"
"165923554","165923554.wem","th4_000_common_vo\english(us)\165923554.wem","9159","8,94"
"166581581","166581581.wem","th4_000_common_vo\english(us)\166581581.wem","30102","29,4"
"167560200","167560200.wem","th4_000_common_vo\english(us)\167560200.wem","28366","27,7"
"167945959","167945959.wem","th4_000_common_vo\english(us)\167945959.wem","15338","14,98"
"168165222","168165222.wem","th4_000_common_vo\english(us)\168165222.wem","25832","25,23"
"169992522","169992522.wem","th4_000_common_vo\english(us)\169992522.wem","48001","46,88"
"170699724","170699724.wem","th4_000_common_vo\english(us)\170699724.wem","288731","281,96"
"170803105","170803105.wem","th4_000_common_vo\english(us)\170803105.wem","31091","30,36"
"174011257","174011257.wem","th4_000_common_vo\english(us)\174011257.wem","10578","10,33"
"174921470","174921470.wem","th4_000_common_vo\english(us)\174921470.wem","58071","56,71"
"175393690","175393690.wem","th4_000_common_vo\english(us)\175393690.wem","29796","29,1"
"175489343","175489343.wem","th4_000_common_vo\english(us)\175489343.wem","43016","42,01"
"176239191","176239191.wem","th4_000_common_vo\english(us)\176239191.wem","29067","28,39"
"176314973","176314973.wem","th4_000_common_vo\english(us)\176314973.wem","41111","40,15"
"179329367","179329367.wem","th4_000_common_vo\english(us)\179329367.wem","69994","68,35"
"181324910","181324910.wem","th4_000_common_vo\english(us)\181324910.wem","30273","29,56"
"181934843","181934843.wem","th4_000_common_vo\english(us)\181934843.wem","49311","48,16"
"181960664","181960664.wem","th4_000_common_vo\english(us)\181960664.wem","116735","114"
"182563901","182563901.wem","th4_000_common_vo\english(us)\182563901.wem","31880","31,13"
"182704058","182704058.wem","th4_000_common_vo\english(us)\182704058.wem","16663","16,27"
"182815024","182815024.wem","th4_000_common_vo\english(us)\182815024.wem","20177","19,7"
"183169828","183169828.wem","th4_000_common_vo\english(us)\183169828.wem","28818","28,14"
"184262414","184262414.wem","th4_000_common_vo\english(us)\184262414.wem","45174","44,12"
"184517543","184517543.wem","th4_000_common_vo\english(us)\184517543.wem","10543","10,3"
"184647666","184647666.wem","th4_000_common_vo\english(us)\184647666.wem","23780","23,22"
"185096493","185096493.wem","th4_000_common_vo\english(us)\185096493.wem","209897","204,98"
"185250707","185250707.wem","th4_000_common_vo\english(us)\185250707.wem","14027","13,7"
"185799516","185799516.wem","th4_000_common_vo\english(us)\185799516.wem","41884","40,9"
"186070293","186070293.wem","th4_000_common_vo\english(us)\186070293.wem","25019","24,43"
"187117794","187117794.wem","th4_000_common_vo\english(us)\187117794.wem","51982","50,76"
"187578096","187578096.wem","th4_000_common_vo\english(us)\187578096.wem","46241","45,16"
"187877902","187877902.wem","th4_000_common_vo\english(us)\187877902.wem","23061","22,52"
"191772834","191772834.wem","th4_000_common_vo\english(us)\191772834.wem","32590","31,83"
"192113431","192113431.wem","th4_000_common_vo\english(us)\192113431.wem","44245","43,21"
"192194498","192194498.wem","th4_000_common_vo\english(us)\192194498.wem","41402","40,43"
"192487085","192487085.wem","th4_000_common_vo\english(us)\192487085.wem","9338","9,12"
"192763684","192763684.wem","th4_000_common_vo\english(us)\192763684.wem","22041","21,52"
"194110632","194110632.wem","th4_000_common_vo\english(us)\194110632.wem","16918","16,52"
"194330409","194330409.wem","th4_000_common_vo\english(us)\194330409.wem","17225","16,82"
"195325266","195325266.wem","th4_000_common_vo\english(us)\195325266.wem","6785","6,63"
"195537923","195537923.wem","th4_000_common_vo\english(us)\195537923.wem","13151","12,84"
"196366528","196366528.wem","th4_000_common_vo\english(us)\196366528.wem","22243","21,72"
"196991802","196991802.wem","th4_000_common_vo\english(us)\196991802.wem","30074","29,37"
"197543547","197543547.wem","th4_000_common_vo\english(us)\197543547.wem","22054","21,54"
"197738680","197738680.wem","th4_000_common_vo\english(us)\197738680.wem","16314","15,93"
"198261962","198261962.wem","th4_000_common_vo\english(us)\198261962.wem","27545","26,9"
"198440592","198440592.wem","th4_000_common_vo\english(us)\198440592.wem","231216","225,8"
"199511651","199511651.wem","th4_000_common_vo\english(us)\199511651.wem","21826","21,31"
"200272434","200272434.wem","th4_000_common_vo\english(us)\200272434.wem","14024","13,7"
"201252940","201252940.wem","th4_000_common_vo\english(us)\201252940.wem","12647","12,35"
"201433572","201433572.wem","th4_000_common_vo\english(us)\201433572.wem","22477","21,95"
"201897175","201897175.wem","th4_000_common_vo\english(us)\201897175.wem","19390","18,94"
"202264735","202264735.wem","th4_000_common_vo\english(us)\202264735.wem","192133","187,63"
"202756120","202756120.wem","th4_000_common_vo\english(us)\202756120.wem","18746","18,31"
"204876013","204876013.wem","th4_000_common_vo\english(us)\204876013.wem","30315","29,6"
"206085556","206085556.wem","th4_000_common_vo\english(us)\206085556.wem","69546","67,92"
"206247569","206247569.wem","th4_000_common_vo\english(us)\206247569.wem","14893","14,54"
"206319454","206319454.wem","th4_000_common_vo\english(us)\206319454.wem","16870","16,47"
"206482288","206482288.wem","th4_000_common_vo\english(us)\206482288.wem","34296","33,49"
"206607860","206607860.wem","th4_000_common_vo\english(us)\206607860.wem","41671","40,69"
"208695542","208695542.wem","th4_000_common_vo\english(us)\208695542.wem","17063","16,66"
"210412192","210412192.wem","th4_000_common_vo\english(us)\210412192.wem","26586","25,96"
"211532930","211532930.wem","th4_000_common_vo\english(us)\211532930.wem","20443","19,96"
"211866321","211866321.wem","th4_000_common_vo\english(us)\211866321.wem","55798","54,49"
"212177027","212177027.wem","th4_000_common_vo\english(us)\212177027.wem","37393","36,52"
"212234175","212234175.wem","th4_000_common_vo\english(us)\212234175.wem","37502","36,62"
"213762010","213762010.wem","th4_000_common_vo\english(us)\213762010.wem","33499","32,71"
"214125137","214125137.wem","th4_000_common_vo\english(us)\214125137.wem","66390","64,83"
"215314467","215314467.wem","th4_000_common_vo\english(us)\215314467.wem","10897","10,64"
"216677552","216677552.wem","th4_000_common_vo\english(us)\216677552.wem","31477","30,74"
"218049326","218049326.wem","th4_000_common_vo\english(us)\218049326.wem","23920","23,36"
"218774231","218774231.wem","th4_000_common_vo\english(us)\218774231.wem","59477","58,08"
"219180708","219180708.wem","th4_000_common_vo\english(us)\219180708.wem","27577","26,93"
"219721614","219721614.wem","th4_000_common_vo\english(us)\219721614.wem","22421","21,9"
"219835625","219835625.wem","th4_000_common_vo\english(us)\219835625.wem","45356","44,29"
"221217876","221217876.wem","th4_000_common_vo\english(us)\221217876.wem","15697","15,33"
"222265191","222265191.wem","th4_000_common_vo\english(us)\222265191.wem","28588","27,92"
"222555717","222555717.wem","th4_000_common_vo\english(us)\222555717.wem","76866","75,06"
"223275476","223275476.wem","th4_000_common_vo\english(us)\223275476.wem","26582","25,96"
"223793026","223793026.wem","th4_000_common_vo\english(us)\223793026.wem","15631","15,26"
"224466364","224466364.wem","th4_000_common_vo\english(us)\224466364.wem","24732","24,15"
"225139994","225139994.wem","th4_000_common_vo\english(us)\225139994.wem","23014","22,47"
"226617786","226617786.wem","th4_000_common_vo\english(us)\226617786.wem","59286","57,9"
"227431214","227431214.wem","th4_000_common_vo\english(us)\227431214.wem","12825","12,52"
"227830401","227830401.wem","th4_000_common_vo\english(us)\227830401.wem","266615","260,37"
"228038233","228038233.wem","th4_000_common_vo\english(us)\228038233.wem","31617","30,88"
"230796911","230796911.wem","th4_000_common_vo\english(us)\230796911.wem","21868","21,36"
"231591266","231591266.wem","th4_000_common_vo\english(us)\231591266.wem","23452","22,9"
"231986273","231986273.wem","th4_000_common_vo\english(us)\231986273.wem","42053","41,07"
"232476450","232476450.wem","th4_000_common_vo\english(us)\232476450.wem","15670","15,3"
"233018484","233018484.wem","th4_000_common_vo\english(us)\233018484.wem","18488","18,05"
"233358959","233358959.wem","th4_000_common_vo\english(us)\233358959.wem","35181","34,36"
"233438342","233438342.wem","th4_000_common_vo\english(us)\233438342.wem","74990","73,23"
"233546027","233546027.wem","th4_000_common_vo\english(us)\233546027.wem","38409","37,51"
"234132063","234132063.wem","th4_000_common_vo\english(us)\234132063.wem","68152","66,55"
"234171837","234171837.wem","th4_000_common_vo\english(us)\234171837.wem","49255","48,1"
"237528681","237528681.wem","th4_000_common_vo\english(us)\237528681.wem","9803","9,57"
"238102054","238102054.wem","th4_000_common_vo\english(us)\238102054.wem","4822","4,71"
"239395106","239395106.wem","th4_000_common_vo\english(us)\239395106.wem","10191","9,95"
"240912965","240912965.wem","th4_000_common_vo\english(us)\240912965.wem","22229","21,71"
"242465059","242465059.wem","th4_000_common_vo\english(us)\242465059.wem","94192","91,98"
"243616231","243616231.wem","th4_000_common_vo\english(us)\243616231.wem","48792","47,65"
"244321865","244321865.wem","th4_000_common_vo\english(us)\244321865.wem","19242","18,79"
"246609026","246609026.wem","th4_000_common_vo\english(us)\246609026.wem","93446","91,26"
"246891663","246891663.wem","th4_000_common_vo\english(us)\246891663.wem","56791","55,46"
"248157971","248157971.wem","th4_000_common_vo\english(us)\248157971.wem","10241","10"
"250104555","250104555.wem","th4_000_common_vo\english(us)\250104555.wem","9869","9,64"
"252188113","252188113.wem","th4_000_common_vo\english(us)\252188113.wem","54004","52,74"
"252257032","252257032.wem","th4_000_common_vo\english(us)\252257032.wem","38838","37,93"
"252305306","252305306.wem","th4_000_common_vo\english(us)\252305306.wem","13275","12,96"
"253103376","253103376.wem","th4_000_common_vo\english(us)\253103376.wem","23938","23,38"
"253212335","253212335.wem","th4_000_common_vo\english(us)\253212335.wem","9850","9,62"
"253463471","253463471.wem","th4_000_common_vo\english(us)\253463471.wem","46587","45,5"
"255875212","255875212.wem","th4_000_common_vo\english(us)\255875212.wem","58703","57,33"
"257763145","257763145.wem","th4_000_common_vo\english(us)\257763145.wem","14903","14,55"
"258432156","258432156.wem","th4_000_common_vo\english(us)\258432156.wem","46109","45,03"
"258438692","258438692.wem","th4_000_common_vo\english(us)\258438692.wem","71089","69,42"
"258541100","258541100.wem","th4_000_common_vo\english(us)\258541100.wem","50056","48,88"
"260783562","260783562.wem","th4_000_common_vo\english(us)\260783562.wem","60417","59"
"262509221","262509221.wem","th4_000_common_vo\english(us)\262509221.wem","27389","26,75"
"262650098","262650098.wem","th4_000_common_vo\english(us)\262650098.wem","24288","23,72"
"264318605","264318605.wem","th4_000_common_vo\english(us)\264318605.wem","13949","13,62"
"264429072","264429072.wem","th4_000_common_vo\english(us)\264429072.wem","41659","40,68"
"264889363","264889363.wem","th4_000_common_vo\english(us)\264889363.wem","12100","11,82"
"265251714","265251714.wem","th4_000_common_vo\english(us)\265251714.wem","37642","36,76"
"268025381","268025381.wem","th4_000_common_vo\english(us)\268025381.wem","34800","33,98"
"268592622","268592622.wem","th4_000_common_vo\english(us)\268592622.wem","63123","61,64"
"270191836","270191836.wem","th4_000_common_vo\english(us)\270191836.wem","13904","13,58"
"270299190","270299190.wem","th4_000_common_vo\english(us)\270299190.wem","6324","6,18"
"271969660","271969660.wem","th4_000_common_vo\english(us)\271969660.wem","17993","17,57"
"272200703","272200703.wem","th4_000_common_vo\english(us)\272200703.wem","9411","9,19"
"272253548","272253548.wem","th4_000_common_vo\english(us)\272253548.wem","17323","16,92"
"272522425","272522425.wem","th4_000_common_vo\english(us)\272522425.wem","29248","28,56"
"272603742","272603742.wem","th4_000_common_vo\english(us)\272603742.wem","10592","10,34"
"272772371","272772371.wem","th4_000_common_vo\english(us)\272772371.wem","14118","13,79"
"273544445","273544445.wem","th4_000_common_vo\english(us)\273544445.wem","7078","6,91"
"273701221","273701221.wem","th4_000_common_vo\english(us)\273701221.wem","6961","6,8"
"276506526","276506526.wem","th4_000_common_vo\english(us)\276506526.wem","26470","25,85"
"278962303","278962303.wem","th4_000_common_vo\english(us)\278962303.wem","92080","89,92"
"281326780","281326780.wem","th4_000_common_vo\english(us)\281326780.wem","92552","90,38"
"282305378","282305378.wem","th4_000_common_vo\english(us)\282305378.wem","31435","30,7"
"284086785","284086785.wem","th4_000_common_vo\english(us)\284086785.wem","13699","13,38"
"285381545","285381545.wem","th4_000_common_vo\english(us)\285381545.wem","49254","48,1"
"285607759","285607759.wem","th4_000_common_vo\english(us)\285607759.wem","216534","211,46"
"286033145","286033145.wem","th4_000_common_vo\english(us)\286033145.wem","79791","77,92"
"286377453","286377453.wem","th4_000_common_vo\english(us)\286377453.wem","25617","25,02"
"286756205","286756205.wem","th4_000_common_vo\english(us)\286756205.wem","13026","12,72"
"287207942","287207942.wem","th4_000_common_vo\english(us)\287207942.wem","31761","31,02"
"287735083","287735083.wem","th4_000_common_vo\english(us)\287735083.wem","14253","13,92"
"287830862","287830862.wem","th4_000_common_vo\english(us)\287830862.wem","39293","38,37"
"288149885","288149885.wem","th4_000_common_vo\english(us)\288149885.wem","36046","35,2"
"289770978","289770978.wem","th4_000_common_vo\english(us)\289770978.wem","23033","22,49"
"289836723","289836723.wem","th4_000_common_vo\english(us)\289836723.wem","33184","32,41"
"290922556","290922556.wem","th4_000_common_vo\english(us)\290922556.wem","26504","25,88"
