"Index","WEM","Type","Character","Context","Status","OriginalText","PTBRText","Notes"
"1063","206085556.wem","VOICE","","","PENDING","","",""
"1064","644391300.wem","VOICE","","","PENDING","","",""
"1065","655167511.wem","VOICE","","","PENDING","","",""
"1066","858031971.wem","VOICE","","","PENDING","","",""
"1067","892162788.wem","VOICE","","","PENDING","","",""
"1068","884549210.wem","VOICE","","","PENDING","","",""
"1069","887480316.wem","VOICE","","","PENDING","","",""
"1070","234132063.wem","VOICE","","","PENDING","","",""
"1071","233438342.wem","VOICE","","","PENDING","","",""
"1072","472341349.wem","VOICE","","","PENDING","","",""
"1073","461795631.wem","VOICE","","","PENDING","","",""
"1074","941504960.wem","VOICE","","","PENDING","","",""
"1075","222555717.wem","VOICE","","","PENDING","","",""
"1076","1040911784.wem","VOICE","","","PENDING","","",""
"1077","763059289.wem","VOICE","","","PENDING","","",""
"1078","800692050.wem","VOICE","","","PENDING","","",""
"1079","789495999.wem","VOICE","","","PENDING","","",""
"1080","561621684.wem","VOICE","","","PENDING","","",""
"1081","79594765.wem","VOICE","","","PENDING","","",""
"1082","781774049.wem","VOICE","","","PENDING","","",""
"1083","106607126.wem","VOICE","","","PENDING","","",""
"1084","800015293.wem","VOICE","","","PENDING","","",""
"1085","980150240.wem","VOICE","","","PENDING","","",""
"1086","927057568.wem","VOICE","","","PENDING","","",""
"1087","723186224.wem","VOICE","","","PENDING","","",""
"1088","883984475.wem","VOICE","","","PENDING","","",""
"1089","87544570.wem","VOICE","","","PENDING","","",""
"1090","799928963.wem","VOICE","","","PENDING","","",""
"1091","451974591.wem","VOICE","","","PENDING","","",""
"1092","953956546.wem","VOICE","","","PENDING","","",""
"1093","795110502.wem","VOICE","","","PENDING","","",""
"1094","493670512.wem","VOICE","","","PENDING","","",""
"1095","939099692.wem","VOICE","","","PENDING","","",""
"1096","605166869.wem","VOICE","","","PENDING","","",""
"1097","67801274.wem","VOICE","","","PENDING","","",""
"1098","23415599.wem","VOICE","","","PENDING","","",""
"1099","286033145.wem","VOICE","","","PENDING","","",""
"1100","424842952.wem","VOICE","","","PENDING","","",""
"1101","1024605331.wem","VOICE","","","PENDING","","",""
"1102","324163942.wem","VOICE","","","PENDING","","",""
"1103","281326780.wem","VOICE","","","PENDING","","",""
"1104","242465059.wem","VOICE","","","PENDING","","",""
"1105","462415706.wem","VOICE","","","PENDING","","",""
"1106","382402011.wem","VOICE","","","PENDING","","",""
"1107","130398566.wem","VOICE","","","PENDING","","",""
"1108","874708357.wem","VOICE","","","PENDING","","",""
"1109","878170847.wem","VOICE","","","PENDING","","",""
"1110","278962303.wem","VOICE","","","PENDING","","",""
"1111","589104479.wem","VOICE","","","PENDING","","",""
"1112","686640077.wem","VOICE","","","PENDING","","",""
"1113","1011898081.wem","VOICE","","","PENDING","","",""
"1114","681167016.wem","VOICE","","","PENDING","","",""
"1115","449603267.wem","VOICE","","","PENDING","","",""
"1116","246609026.wem","VOICE","","","PENDING","","",""
"1117","749918491.wem","VOICE","","","PENDING","","",""
"1118","717250427.wem","VOICE","","","PENDING","","",""
"1119","431551151.wem","VOICE","","","PENDING","","",""
"1120","697193758.wem","VOICE","","","PENDING","","",""
"1121","482232445.wem","VOICE","","","PENDING","","",""
"1122","181960664.wem","VOICE","","","PENDING","","",""
"1123","111938917.wem","VOICE","","","PENDING","","",""
"1124","323982226.wem","VOICE","","","PENDING","","",""
"1125","626322069.wem","VOICE","","","PENDING","","",""
"1126","313851490.wem","VOICE","","","PENDING","","",""
"1127","1032112512.wem","VOICE","","","PENDING","","",""
"1128","676334691.wem","VOICE","","","PENDING","","",""
"1129","500049807.wem","VOICE","","","PENDING","","",""
"1130","591196620.wem","VOICE","","","PENDING","","",""
"1131","891536372.wem","VOICE","","","PENDING","","",""
"1132","353841134.wem","VOICE","","","PENDING","","",""
"1133","117431200.wem","VOICE","","","PENDING","","",""
"1134","324489994.wem","VOICE","","","PENDING","","",""
"1135","536154943.wem","VOICE","","","PENDING","","",""
"1136","227830401.wem","VOICE","","","PENDING","","",""
"1137","202264735.wem","VOICE","","","PENDING","","",""
"1138","468166270.wem","VOICE","","","PENDING","","",""
"1139","791924021.wem","VOICE","","","PENDING","","",""
"1140","185096493.wem","VOICE","","","PENDING","","",""
"1141","853338107.wem","VOICE","","","PENDING","","",""
"1142","285607759.wem","VOICE","","","PENDING","","",""
"1143","170699724.wem","VOICE","","","PENDING","","",""
"1144","316454681.wem","VOICE","","","PENDING","","",""
