"Index","WEM","Type","Character","Context","Status","OriginalText","PTBRText","Notes"
"179","264889363.wem","VOICE","","","PENDING","","",""
"180","139313318.wem","VOICE","","","PENDING","","",""
"181","317399096.wem","VOICE","","","PENDING","","",""
"182","1018719994.wem","VOICE","","","PENDING","","",""
"183","635449659.wem","VOICE","","","PENDING","","",""
"184","568173431.wem","VOICE","","","PENDING","","",""
"185","31944517.wem","VOICE","","","PENDING","","",""
"186","272253548.wem","VOICE","","","PENDING","","",""
"187","1042630073.wem","VOICE","","","PENDING","","",""
"188","465962432.wem","VOICE","","","PENDING","","",""
"189","441636163.wem","VOICE","","","PENDING","","",""
"190","208695542.wem","VOICE","","","PENDING","","",""
"191","898503064.wem","VOICE","","","PENDING","","",""
"192","145401243.wem","VOICE","","","PENDING","","",""
"193","560660796.wem","VOICE","","","PENDING","","",""
"194","798490929.wem","VOICE","","","PENDING","","",""
"195","105106109.wem","VOICE","","","PENDING","","",""
"196","731303406.wem","VOICE","","","PENDING","","",""
"197","410333338.wem","VOICE","","","PENDING","","",""
"198","765967550.wem","VOICE","","","PENDING","","",""
"199","867596762.wem","VOICE","","","PENDING","","",""
"200","534780668.wem","VOICE","","","PENDING","","",""
"201","1002356841.wem","VOICE","","","PENDING","","",""
"202","857517261.wem","VOICE","","","PENDING","","",""
"203","679458430.wem","VOICE","","","PENDING","","",""
"204","450167022.wem","VOICE","","","PENDING","","",""
"205","691955040.wem","VOICE","","","PENDING","","",""
"206","201252940.wem","VOICE","","","PENDING","","",""
"207","536079640.wem","VOICE","","","PENDING","","",""
"208","337206063.wem","VOICE","","","PENDING","","",""
"209","537768246.wem","VOICE","","","PENDING","","",""
"210","623217668.wem","VOICE","","","PENDING","","",""
"211","821440897.wem","VOICE","","","PENDING","","",""
"212","709111517.wem","VOICE","","","PENDING","","",""
"213","785886237.wem","VOICE","","","PENDING","","",""
"214","9381084.wem","VOICE","","","PENDING","","",""
"215","18903818.wem","VOICE","","","PENDING","","",""
"216","1002118069.wem","VOICE","","","PENDING","","",""
"217","658700189.wem","VOICE","","","PENDING","","",""
"218","1063776406.wem","VOICE","","","PENDING","","",""
"219","136987909.wem","VOICE","","","PENDING","","",""
"220","159781536.wem","VOICE","","","PENDING","","",""
"221","920202335.wem","VOICE","","","PENDING","","",""
"222","423576560.wem","VOICE","","","PENDING","","",""
"223","264318605.wem","VOICE","","","PENDING","","",""
"224","566090492.wem","VOICE","","","PENDING","","",""
"225","547039271.wem","VOICE","","","PENDING","","",""
"226","252305306.wem","VOICE","","","PENDING","","",""
"227","970401893.wem","VOICE","","","PENDING","","",""
"228","946187242.wem","VOICE","","","PENDING","","",""
"229","835897267.wem","VOICE","","","PENDING","","",""
"230","561015116.wem","VOICE","","","PENDING","","",""
"231","751737961.wem","VOICE","","","PENDING","","",""
"232","928373896.wem","VOICE","","","PENDING","","",""
"233","677993324.wem","VOICE","","","PENDING","","",""
"234","185250707.wem","VOICE","","","PENDING","","",""
"235","195537923.wem","VOICE","","","PENDING","","",""
