"FromIndex","FromType","FromID","FieldName","FieldType","ToID"
"109","HircChunk","","sourceID","tid","305371706"
"109","HircChunk","","uFileID","tid","305371706"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","583278376"
"109","HircChunk","","sourceID","tid","802166597"
"109","HircChunk","","uFileID","tid","802166597"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","583278376"
"109","HircChunk","","sourceID","tid","704692640"
"109","HircChunk","","uFileID","tid","704692640"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","583278376"
"109","HircChunk","","sourceID","tid","822386335"
"109","HircChunk","","uFileID","tid","822386335"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","583278376"
"109","HircChunk","","sourceID","tid","324025043"
"109","HircChunk","","uFileID","tid","324025043"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","583278376"
"109","HircChunk","","sourceID","tid","508384238"
"109","HircChunk","","uFileID","tid","508384238"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","583278376"
"109","HircChunk","","sourceID","tid","1004298845"
"109","HircChunk","","uFileID","tid","1004298845"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","583278376"
"109","HircChunk","","sourceID","tid","434389044"
"109","HircChunk","","uFileID","tid","434389044"
"109","HircChunk","","OverrideBusId","tid","0"
"109","HircChunk","","DirectParentID","tid","583278376"
"109","HircChunk","","OverrideBusId","tid","2891806020"
"109","HircChunk","","DirectParentID","tid","0"
"109","HircChunk","","ulChildID","tid","120945987"
"109","HircChunk","","ulChildID","tid","151279467"
"109","HircChunk","","ulChildID","tid","321425575"
"109","HircChunk","","ulChildID","tid","482154530"
"109","HircChunk","","ulChildID","tid","608177259"
"109","HircChunk","","ulChildID","tid","612492065"
"109","HircChunk","","ulChildID","tid","665836850"
"109","HircChunk","","ulChildID","tid","726780359"
"109","HircChunk","","ulChildID","tid","765137024"
