"SourceID","UFileID","WEMFound","WEMFile","RelativePath","SizeBytes","StreamType","IsLanguageSpecific","HasSource","ExternallySupplied","ParentObject"
"919924785","919924785","True","919924785.wem","th4_000_common_vo\english(us)\919924785.wem","18724","1","","","","AkBankSourceData"
"920068327","920068327","True","920068327.wem","th4_000_common_vo\english(us)\920068327.wem","35854","1","","","","AkBankSourceData"
"920129876","920129876","True","920129876.wem","th4_000_common_vo\english(us)\920129876.wem","50600","1","","","","AkBankSourceData"
"920202335","920202335","True","920202335.wem","th4_000_common_vo\english(us)\920202335.wem","12823","2","","","","AkBankSourceData"
"920301962","920301962","True","920301962.wem","th4_000_common_vo\english(us)\920301962.wem","14137","1","","","","AkBankSourceData"
"921173421","921173421","True","921173421.wem","th4_000_common_vo\english(us)\921173421.wem","8419","1","","","","AkBankSourceData"
"927048682","927048682","True","927048682.wem","th4_000_common_vo\english(us)\927048682.wem","7764","1","","","","AkBankSourceData"
"927057568","927057568","True","927057568.wem","th4_000_common_vo\english(us)\927057568.wem","80478","1","","","","AkBankSourceData"
"927341555","927341555","True","927341555.wem","th4_000_common_vo\english(us)\927341555.wem","26181","1","","","","AkBankSourceData"
"928373896","928373896","True","928373896.wem","th4_000_common_vo\english(us)\928373896.wem","13397","1","","","","AkBankSourceData"
"929730082","929730082","True","929730082.wem","th4_000_common_vo\english(us)\929730082.wem","15254","1","","","","AkBankSourceData"
"929772598","929772598","True","929772598.wem","th4_000_common_vo\english(us)\929772598.wem","28483","1","","","","AkBankSourceData"
"929989629","929989629","True","929989629.wem","th4_000_common_vo\english(us)\929989629.wem","9286","1","","","","AkBankSourceData"
"930831490","930831490","True","930831490.wem","th4_000_common_vo\english(us)\930831490.wem","45229","1","","","","AkBankSourceData"
"933900365","933900365","True","933900365.wem","th4_000_common_vo\english(us)\933900365.wem","15523","1","","","","AkBankSourceData"
"933920771","933920771","True","933920771.wem","th4_000_common_vo\english(us)\933920771.wem","11872","1","","","","AkBankSourceData"
"934459535","934459535","True","934459535.wem","th4_000_common_vo\english(us)\934459535.wem","25421","1","","","","AkBankSourceData"
"936295321","936295321","True","936295321.wem","th4_000_common_vo\english(us)\936295321.wem","25159","1","","","","AkBankSourceData"
"937859725","937859725","True","937859725.wem","th4_000_common_vo\english(us)\937859725.wem","29095","1","","","","AkBankSourceData"
"938191861","938191861","True","938191861.wem","th4_000_common_vo\english(us)\938191861.wem","10588","1","","","","AkBankSourceData"
"938294348","938294348","True","938294348.wem","th4_000_common_vo\english(us)\938294348.wem","13079","1","","","","AkBankSourceData"
"939038798","939038798","True","939038798.wem","th4_000_common_vo\english(us)\939038798.wem","38144","1","","","","AkBankSourceData"
"939099692","939099692","True","939099692.wem","th4_000_common_vo\english(us)\939099692.wem","87032","1","","","","AkBankSourceData"
"939132931","939132931","True","939132931.wem","th4_000_common_vo\english(us)\939132931.wem","22805","1","","","","AkBankSourceData"
"941504960","941504960","True","941504960.wem","th4_000_common_vo\english(us)\941504960.wem","69794","1","","","","AkBankSourceData"
"941899465","941899465","True","941899465.wem","th4_000_common_vo\english(us)\941899465.wem","19417","1","","","","AkBankSourceData"
"946187242","946187242","True","946187242.wem","th4_000_common_vo\english(us)\946187242.wem","13662","1","","","","AkBankSourceData"
"947703177","947703177","True","947703177.wem","th4_000_common_vo\english(us)\947703177.wem","28974","1","","","","AkBankSourceData"
"948823182","948823182","True","948823182.wem","th4_000_common_vo\english(us)\948823182.wem","32326","1","","","","AkBankSourceData"
"948839576","948839576","True","948839576.wem","th4_000_common_vo\english(us)\948839576.wem","10907","1","","","","AkBankSourceData"
"952069668","952069668","True","952069668.wem","th4_000_common_vo\english(us)\952069668.wem","20883","1","","","","AkBankSourceData"
"953956546","953956546","True","953956546.wem","th4_000_common_vo\english(us)\953956546.wem","87649","1","","","","AkBankSourceData"
"956882359","956882359","True","956882359.wem","th4_000_common_vo\english(us)\956882359.wem","40140","1","","","","AkBankSourceData"
"958186655","958186655","True","958186655.wem","th4_000_common_vo\english(us)\958186655.wem","41660","1","","","","AkBankSourceData"
"958401130","958401130","True","958401130.wem","th4_000_common_vo\english(us)\958401130.wem","17533","1","","","","AkBankSourceData"
"958740332","958740332","True","958740332.wem","th4_000_common_vo\english(us)\958740332.wem","22299","1","","","","AkBankSourceData"
"959203466","959203466","True","959203466.wem","th4_000_common_vo\english(us)\959203466.wem","10108","1","","","","AkBankSourceData"
"959761289","959761289","True","959761289.wem","th4_000_common_vo\english(us)\959761289.wem","13427","1","","","","AkBankSourceData"
"962377788","962377788","True","962377788.wem","th4_000_common_vo\english(us)\962377788.wem","29797","1","","","","AkBankSourceData"
"963567431","963567431","True","963567431.wem","th4_000_common_vo\english(us)\963567431.wem","17169","1","","","","AkBankSourceData"
"964945468","964945468","True","964945468.wem","th4_000_common_vo\english(us)\964945468.wem","19690","1","","","","AkBankSourceData"
"966190588","966190588","True","966190588.wem","th4_000_common_vo\english(us)\966190588.wem","35659","1","","","","AkBankSourceData"
"968419079","968419079","True","968419079.wem","th4_000_common_vo\english(us)\968419079.wem","24249","1","","","","AkBankSourceData"
"969023310","969023310","True","969023310.wem","th4_000_common_vo\english(us)\969023310.wem","42012","2","","","","AkBankSourceData"
